Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,4.8,4.5,4.0,4.6,4.6,3.8,3.7,3.6,3.3,2.5,2.8,3.6
2002,3.4,2.7,3.0,2.7,2.7,2.7,3.0,2.8,2.8,3.1,3.2,2.8
2003,2.7,2.9,2.7,2.7,2.9,2.7,2.4,2.8,2.5,3.3,3.4,2.8
2004,2.1,3.0,3.1,2.8,2.8,2.3,2.9,2.9,3.4,3.1,2.8,3.1
2005,2.9,3.1,3.2,3.5,3.2,3.4,3.6,3.1,3.5,3.5,3.3,3.5
2006,3.6,3.6,3.6,3.8,3.2,3.6,3.0,3.5,3.7,3.3,3.6,3.7
2007,3.5,3.6,3.7,3.2,3.9,3.7,3.6,3.4,3.3,3.7,3.4,3.1
2008,3.3,3.0,3.1,3.0,3.4,3.0,3.0,3.1,2.9,2.9,3.0,2.9
2009,2.9,2.6,2.3,2.3,2.3,2.6,1.9,2.2,2.7,1.9,2.2,2.4
2010,2.5,2.7,2.5,3.1,2.8,2.5,2.8,2.7,2.7,2.8,2.5,2.7
2011,3.1,2.7,2.8,2.6,2.5,2.7,2.8,2.5,2.9,2.8,2.8,2.8
2012,2.9,2.9,3.2,3.1,3.2,3.2,2.9,3.7,3.1,2.9,3.1,2.9
2013,2.9,3.1,3.1,3.1,3.2,3.3,2.9,3.0,3.0,3.0,3.3,3.3
2014,2.9,3.0,3.0,3.2,3.3,3.7,3.7,3.6,4.2,3.3,3.3,3.4
2015,3.6,4.3,3.4,3.4,3.7,3.4,4.2,3.7,3.7,3.9,3.7,3.8
2016,4.2,3.8,3.5,3.8,3.8,3.8,4.2,3.8,4.0,3.9,3.9,3.9
2017,3.5,4.0,4.0,4.3,4.0,4.1,3.7,4.1,3.8,4.3,4.5,4.4
2018,4.5,4.2,4.8,5.1,4.5,4.6,4.6,4.1,4.6,4.6,4.5,4.4
2019,4.6,4.3,4.3,4.1,4.6,4.6,4.5,4.6,4.3,4.3,4.3,4.7
2020,4.7,5.1,4.6,4.5,4.8,5.0,4.9,4.5,4.6,4.9,5.0,5.0
2021,4.7,6.0,6.7,6.8,7.7,7.9,8.3,7.8,7.5,7.1,8.3,8.4
