Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,4.0,4.1,4.2,4.6,4.0,3.3,3.6,3.1,3.2,2.7,3.1,3.6
2002,3.2,2.7,2.8,2.8,2.6,2.9,3.1,2.9,2.9,2.7,2.9,2.9
2003,3.2,2.6,2.7,2.6,2.9,2.3,2.3,2.5,2.5,2.5,2.7,2.4
2004,2.1,2.9,2.9,2.9,3.1,2.4,2.9,2.9,3.5,3.3,2.7,2.9
2005,2.6,3.0,2.9,2.9,2.9,3.1,2.8,3.0,3.7,3.1,2.9,3.0
2006,3.2,2.9,2.9,3.3,3.0,3.3,3.4,3.8,3.7,3.8,3.6,3.5
2007,3.3,3.7,4.0,3.3,3.6,3.5,3.3,3.2,3.5,3.7,3.7,3.8
2008,4.4,3.2,3.4,3.0,3.1,2.7,2.7,2.7,2.4,2.4,3.0,2.4
2009,2.3,2.3,1.9,2.1,1.9,3.1,1.6,1.6,2.2,1.6,1.8,2.1
2010,2.2,2.3,2.5,2.7,2.6,2.4,2.6,2.6,2.4,2.6,2.4,2.5
2011,2.7,2.4,2.6,2.1,2.3,2.3,2.2,2.1,2.3,2.3,2.4,2.3
2012,2.2,2.3,2.2,2.9,2.4,2.3,2.4,2.3,2.0,2.5,2.3,2.6
2013,2.6,2.3,2.5,2.7,2.7,3.2,2.9,2.7,3.0,2.8,3.0,2.7
2014,2.9,3.1,3.0,2.8,3.1,3.2,2.5,3.2,3.2,2.8,3.0,2.7
2015,2.9,3.8,2.9,3.3,3.3,2.6,3.1,2.9,2.7,3.4,3.0,3.8
2016,3.7,3.5,3.5,3.2,3.4,3.2,3.5,3.4,3.7,3.5,3.6,3.4
2017,3.2,3.5,3.4,3.4,3.6,3.8,3.8,3.9,3.8,3.9,3.7,4.5
2018,4.0,3.6,4.1,4.4,4.4,4.5,4.5,4.4,5.1,4.2,4.4,4.3
2019,4.4,3.9,4.2,3.9,4.1,4.1,3.9,4.3,4.0,4.2,4.6,4.3
2020,4.4,4.4,3.6,4.0,4.1,5.1,4.9,4.1,4.9,5.3,5.3,5.4
2021,5.1,5.6,7.0,6.3,6.1,6.7,7.5,7.1,6.8,6.9,6.4,6.6
