Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,3.9,3.7,3.7,3.8,3.3,2.9,2.7,2.9,2.9,2.2,2.5,2.4
2002,2.5,2.4,2.3,2.3,2.3,2.4,2.2,2.0,2.1,2.4,2.2,1.8
2003,2.2,2.0,2.0,1.9,2.4,2.3,2.3,2.3,2.0,2.1,2.2,2.4
2004,2.1,2.5,2.7,2.5,2.2,2.1,2.5,2.5,2.5,2.6,2.1,2.8
2005,2.3,2.6,2.6,2.9,2.8,2.5,2.6,2.4,2.8,2.7,2.7,2.8
2006,3.0,2.8,3.0,2.9,2.5,2.7,2.6,3.0,3.1,3.2,2.9,2.7
2007,3.0,2.8,2.8,2.8,2.8,2.9,2.8,2.7,2.9,2.8,2.8,2.6
2008,2.6,2.5,2.6,2.4,2.5,2.5,2.5,2.5,2.3,2.2,2.4,2.6
2009,2.1,2.2,2.0,1.7,2.1,2.0,1.9,1.9,1.7,1.7,1.6,1.8
2010,1.8,1.7,1.6,2.0,2.1,2.0,2.1,1.9,1.9,2.2,1.8,2.0
2011,2.1,2.2,2.0,2.2,2.2,2.3,2.3,2.1,2.4,2.3,2.5,2.5
2012,2.4,2.3,2.5,2.5,2.6,2.5,2.6,3.0,2.6,2.5,2.6,2.7
2013,2.8,2.7,3.0,2.4,2.5,2.5,2.3,2.6,2.6,2.6,2.5,2.5
2014,2.4,2.5,2.7,2.7,2.9,3.0,2.8,2.8,2.7,2.8,2.4,2.7
2015,3.3,3.1,2.7,2.9,3.0,3.0,3.6,2.8,3.1,3.2,3.2,3.2
2016,3.2,2.9,3.3,3.4,3.6,3.7,3.6,3.5,3.6,3.5,3.4,3.6
2017,3.4,3.6,3.1,3.6,3.4,3.4,3.5,3.4,3.2,3.5,3.5,3.7
2018,3.9,3.9,4.1,3.9,3.7,3.9,4.0,3.7,3.9,3.8,4.0,3.7
2019,3.7,3.7,3.6,3.4,3.8,4.0,3.7,4.4,3.9,4.1,3.6,3.9
2020,4.2,3.8,3.3,3.0,3.6,4.0,4.6,3.9,3.6,3.7,3.9,3.8
2021,3.9,4.3,4.4,5.6,5.3,5.7,7.2,5.8,5.8,5.9,6.6,6.0
