Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,4.2,4.4,4.0,3.7,3.5,3.8,4.1,3.6,3.9,3.5,3.4,3.1
2002,3.0,2.8,3.0,3.0,3.1,2.8,2.7,3.0,2.8,2.8,2.8,2.2
2003,3.3,2.6,2.4,2.1,2.5,2.8,2.7,2.4,2.6,2.8,2.7,2.8
2004,3.0,3.0,3.0,3.1,2.9,2.8,2.8,2.9,3.1,2.9,3.0,3.2
2005,3.3,3.4,3.4,3.4,3.2,3.3,3.9,3.5,3.5,3.3,3.4,3.5
2006,3.5,3.3,4.0,3.7,3.6,3.9,3.7,3.7,3.5,3.7,3.6,3.6
2007,3.7,3.6,3.8,3.7,3.6,3.6,3.6,3.2,3.5,3.5,3.8,3.3
2008,3.2,3.3,3.3,3.1,3.5,3.1,3.0,2.9,2.7,2.8,2.8,2.7
2009,2.4,2.4,2.0,1.7,1.8,2.1,1.8,1.8,2.1,1.8,2.0,2.0
2010,2.1,1.9,1.9,2.1,1.9,2.1,2.1,2.3,2.4,2.4,2.1,2.1
2011,2.2,2.1,2.5,2.4,2.8,2.6,2.8,3.0,2.7,2.8,2.8,2.9
2012,3.2,3.1,3.3,3.0,3.3,3.5,3.8,3.2,3.4,3.0,2.9,3.1
2013,3.2,3.8,3.3,3.4,3.8,3.0,2.7,2.8,3.0,3.4,3.7,2.8
2014,3.5,3.7,3.4,3.6,3.9,3.9,3.7,4.3,4.0,3.9,4.2,4.1
2015,3.8,3.7,3.8,4.6,4.0,3.9,4.4,3.9,3.8,3.9,3.6,3.7
2016,4.6,3.8,3.7,3.4,3.3,3.4,3.4,3.5,3.6,3.4,3.8,3.7
2017,3.7,3.7,3.7,3.9,3.7,4.1,3.9,3.9,4.0,3.7,3.8,3.7
2018,4.1,3.9,4.1,4.3,4.3,4.6,4.6,4.6,4.6,4.7,4.3,4.5
2019,4.3,4.3,5.1,4.6,5.2,4.4,4.5,4.5,4.5,5.0,4.3,4.0
2020,4.6,4.5,4.3,4.8,4.7,4.4,4.9,4.9,4.3,5.0,4.9,4.8
2021,5.2,5.3,6.0,7.2,6.0,6.6,6.2,5.8,6.9,7.0,6.6,7.1
