Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,3.6,3.9,3.2,2.5,2.6,2.9,4.0,3.1,3.1,2.8,2.8,2.9
2002,2.8,2.7,2.9,3.2,2.8,2.8,2.7,2.9,2.5,2.7,2.7,2.7
2003,2.7,2.7,2.2,2.5,2.6,2.7,2.6,2.6,3.0,2.9,3.2,2.9
2004,3.1,3.1,2.4,2.9,3.1,3.2,3.5,2.8,3.0,3.3,2.5,3.1
2005,3.2,3.2,3.6,3.4,3.2,3.2,3.8,3.3,3.5,3.6,3.4,3.4
2006,3.4,3.5,3.9,3.8,3.1,3.4,3.3,3.6,3.7,3.5,3.2,3.4
2007,3.5,3.2,3.6,3.3,3.4,3.4,2.8,2.9,3.1,2.8,2.7,2.7
2008,2.9,2.7,2.7,2.7,2.9,2.7,2.5,3.0,2.4,2.6,2.5,2.3
2009,2.0,2.1,1.8,1.7,1.9,1.8,1.9,1.9,2.2,2.0,2.2,2.4
2010,2.8,2.2,1.9,2.2,2.1,2.2,2.6,2.7,2.4,2.9,2.5,2.4
2011,2.3,2.5,2.6,2.4,2.5,2.6,2.7,2.6,2.9,2.8,2.8,2.7
2012,3.0,2.7,3.0,2.9,3.0,3.0,2.5,2.7,2.7,2.8,3.2,3.0
2013,3.0,2.9,2.9,3.0,3.5,3.1,2.8,2.9,2.8,3.2,2.9,3.0
2014,3.5,3.3,3.5,3.4,3.7,4.0,3.7,3.6,4.1,4.1,3.4,4.0
2015,4.1,4.1,3.4,4.4,4.3,3.7,5.1,4.3,3.9,4.1,4.3,3.9
2016,3.9,4.0,4.0,3.7,3.9,3.7,3.9,4.0,4.1,3.6,4.1,4.2
2017,3.4,4.1,4.1,4.2,4.3,4.7,4.5,4.6,4.6,4.3,4.6,5.0
2018,4.7,4.7,4.4,6.1,5.2,5.0,5.4,5.3,5.2,5.6,5.4,5.0
2019,5.4,5.3,5.3,5.2,4.8,4.8,5.1,4.7,4.8,5.1,4.4,4.1
2020,4.7,4.6,4.1,4.5,4.6,4.9,4.8,5.3,5.6,5.6,5.4,5.7
2021,5.9,5.8,6.1,7.1,7.7,7.1,7.8,7.8,7.8,7.8,7.4,8.4
