Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,3.8,3.7,3.5,3.4,3.2,3.2,3.3,3.0,3.0,2.7,2.8,2.7
2002,2.7,2.6,2.7,2.6,2.6,2.5,2.5,2.6,2.5,2.6,2.6,2.4
2003,2.6,2.4,2.3,2.3,2.5,2.5,2.2,2.4,2.3,2.5,2.5,2.5
2004,2.6,2.6,2.6,2.6,2.7,2.5,2.8,2.6,2.8,2.9,2.6,3.0
2005,2.8,2.9,2.9,3.0,2.8,2.9,3.1,3.0,3.1,3.0,3.1,3.1
2006,3.1,3.1,3.4,3.4,3.2,3.3,3.1,3.3,3.3,3.2,3.3,3.3
2007,3.3,3.3,3.5,3.3,3.3,3.4,3.2,3.2,3.3,3.2,3.3,3.2
2008,3.2,3.0,3.0,2.8,3.0,2.7,2.7,2.6,2.3,2.4,2.3,2.3
2009,2.0,2.1,1.9,1.7,1.9,1.9,1.7,1.8,1.9,1.8,1.9,1.9
2010,2.1,2.0,2.0,2.4,2.2,2.1,2.3,2.2,2.2,2.4,2.4,2.3
2011,2.3,2.4,2.4,2.4,2.4,2.6,2.7,2.5,2.8,2.7,2.6,2.8
2012,2.8,2.6,2.9,2.8,2.8,2.8,2.7,2.8,2.8,2.7,2.8,2.9
2013,2.8,2.9,2.9,2.9,3.0,3.0,2.8,2.9,2.9,3.0,2.9,2.9
2014,2.9,3.1,3.1,3.2,3.3,3.5,3.4,3.7,3.4,3.5,3.3,3.5
2015,3.7,3.7,3.6,3.8,3.8,3.6,4.1,3.7,3.7,3.9,3.8,3.9
2016,4.0,3.9,4.1,3.9,3.9,3.8,4.0,3.8,3.9,3.7,4.0,3.9
2017,3.7,3.9,3.8,4.0,3.8,4.1,4.1,4.1,4.1,4.2,4.1,4.1
2018,4.3,4.3,4.4,4.4,4.5,4.6,4.6,4.6,4.7,4.7,4.8,4.7
2019,4.7,4.5,4.6,4.6,4.6,4.5,4.5,4.5,4.5,4.7,4.4,4.3
2020,4.5,4.4,3.8,3.5,3.9,4.2,4.5,4.3,4.4,4.6,4.6,4.6
2021,4.8,5.2,5.5,6.0,6.2,6.3,6.9,6.7,6.8,7.0,6.8,7.1
