Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,4.7,4.3,5.1,4.3,4.3,4.3,3.9,3.5,3.9,3.9,3.5,3.5
2002,3.1,3.1,3.1,3.1,3.5,3.1,3.5,3.5,3.1,3.5,3.5,3.5
2003,3.5,2.7,2.4,3.1,3.1,3.1,2.7,3.1,3.1,3.1,2.7,3.1
2004,3.1,3.1,3.1,3.0,3.8,3.0,3.8,3.4,3.0,3.4,3.4,3.7
2005,3.0,3.4,3.7,3.7,3.7,4.0,3.6,4.0,4.0,4.0,3.9,3.9
2006,3.9,4.2,4.5,4.5,4.2,4.1,4.1,4.1,4.4,4.1,4.4,4.1
2007,4.4,4.3,4.6,4.3,4.6,4.3,4.6,4.3,4.6,4.6,4.5,4.2
2008,4.2,3.9,3.9,3.6,4.5,3.5,3.5,3.2,3.2,3.2,2.6,2.9
2009,2.6,2.6,2.3,1.7,2.4,2.1,2.1,2.4,2.7,2.4,2.8,2.8
2010,3.1,3.1,3.1,3.4,3.1,2.7,3.1,3.1,2.7,3.0,3.4,3.4
2011,2.4,2.7,3.0,2.7,3.0,3.3,3.3,3.3,3.3,3.3,3.0,3.6
2012,2.7,3.0,3.0,3.3,3.0,3.3,3.3,3.0,3.0,3.0,3.3,3.3
2013,3.3,3.3,3.6,3.3,3.6,3.3,3.3,3.3,3.6,3.3,3.6,3.6
2014,3.9,3.9,3.6,3.9,3.9,4.5,3.8,4.2,3.9,4.1,3.9,4.2
2015,4.1,4.5,4.5,4.5,4.2,3.9,5.1,3.9,3.9,4.2,3.9,3.9
2016,4.0,4.0,4.3,4.0,4.3,4.4,4.4,4.1,4.1,4.1,4.4,4.4
2017,4.1,4.4,4.1,4.1,4.4,4.7,5.0,5.0,4.7,4.4,4.7,4.4
2018,5.0,4.7,5.0,5.0,5.0,5.0,5.0,5.9,5.6,5.3,5.9,5.3
2019,5.6,5.5,5.2,5.5,5.5,5.5,5.8,5.5,5.8,5.5,5.5,5.8
2020,5.9,5.6,4.6,4.7,3.0,2.6,4.7,5.0,4.9,5.2,5.2,5.8
2021,5.5,6.2,6.5,6.8,5.2,5.5,8.1,7.8,6.8,7.4,7.1,9.3
