Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,60,58,61,66,60,56,51,47,47,42,43,45
2002,47,37,45,40,38,35,39,40,41,42,43,35
2003,49,39,36,37,40,42,39,40,36,39,39,34
2004,34,44,46,48,51,39,44,45,52,50,44,51
2005,39,42,40,43,40,41,47,40,49,45,46,48
2006,53,49,49,67,50,53,53,56,56,57,60,60
2007,55,60,59,51,50,56,52,51,45,49,46,47
2008,58,48,51,47,48,47,44,53,43,42,43,50
2009,41,46,38,32,41,36,29,33,45,37,35,38
2010,35,37,33,61,45,39,41,42,37,37,37,32
2011,38,35,34,39,36,37,40,31,40,37,37,38
2012,42,40,43,41,42,40,41,39,39,41,41,42
2013,43,41,41,41,38,49,37,42,42,37,43,41
2014,44,42,46,50,50,54,51,50,51,53,48,49
2015,53,51,42,46,58,53,59,48,55,57,60,61
2016,60,57,59,55,60,66,62,56,59,52,62,65
2017,67,71,66,85,66,68,65,66,65,66,66,64
2018,65,62,63,67,69,71,71,70,70,67,62,63
2019,61,64,65,64,71,63,61,64,63,76,66,66
2020,67,70,61,48,59,59,59,57,59,65,65,67
2021,68,76,91,104,104,104,106,103,100,104,114,105
