Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,18,20,19,20,14,18,17,15,15,15,17,13
2002,14,14,14,14,17,14,14,15,14,15,15,15
2003,14,13,13,12,14,13,13,13,13,14,14,15
2004,15,13,15,14,16,13,18,15,15,16,15,17
2005,14,16,17,18,16,17,17,17,17,16,18,18
2006,16,20,21,20,19,19,21,22,24,18,22,19
2007,25,22,22,23,26,23,20,22,23,23,22,21
2008,23,18,20,17,23,16,16,15,12,12,12,12
2009,9,11,13,10,10,10,10,9,10,12,10,12
2010,14,12,12,15,13,12,13,13,16,16,16,15
2011,16,17,17,16,16,17,19,16,19,16,17,18
2012,16,17,15,18,17,19,16,18,17,16,18,18
2013,16,19,19,15,17,16,16,16,15,17,17,16
2014,18,16,18,20,19,19,16,20,20,17,18,18
2015,22,19,20,19,19,17,22,19,21,21,20,22
2016,21,23,22,24,24,24,25,31,24,21,25,24
2017,25,24,24,27,24,28,28,27,27,29,28,28
2018,22,27,29,28,28,29,27,29,29,31,32,33
2019,39,32,31,25,31,31,32,30,31,31,29,28
2020,30,28,24,16,24,23,25,20,16,30,31,29
2021,27,25,27,27,40,37,46,33,27,53,53,59
