Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,50,45,48,47,47,46,45,49,45,41,38,37
2002,38,40,37,34,32,35,31,30,29,32,31,32
2003,36,28,30,30,31,31,25,33,32,35,36,36
2004,43,35,32,32,34,31,34,32,34,42,33,39
2005,34,37,39,40,39,39,37,33,39,42,39,37
2006,39,43,44,45,42,43,39,45,45,42,41,39
2007,43,41,43,39,42,43,43,40,40,39,39,45
2008,38,37,37,36,39,37,34,37,35,36,32,32
2009,24,31,22,22,27,23,22,23,26,24,30,29
2010,33,31,36,40,31,30,31,27,27,35,32,32
2011,33,39,36,37,35,41,39,40,42,42,40,38
2012,40,40,39,39,45,47,47,42,43,43,42,43
2013,42,43,43,49,46,46,40,46,53,51,48,49
2014,51,48,49,50,42,49,48,55,47,50,47,48
2015,47,53,51,55,56,50,56,55,56,56,58,59
2016,64,58,67,60,55,55,69,53,55,53,58,64
2017,54,59,55,61,57,67,65,68,73,69,64,67
2018,75,72,77,71,81,80,80,81,81,81,82,84
2019,75,75,79,79,76,79,75,71,74,76,73,69
2020,78,74,54,49,53,60,72,63,69,73,71,71
2021,73,77,85,101,87,91,103,98,113,118,115,124
