Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,32,30,26,30,30,25,24,23,21,16,18,23
2002,22,17,19,17,17,17,19,18,18,20,20,18
2003,17,18,17,17,18,17,15,18,16,21,22,18
2004,13,19,20,18,18,15,19,19,22,20,18,20
2005,19,20,21,23,21,22,24,20,23,23,22,23
2006,24,24,24,25,21,24,20,23,25,22,24,25
2007,23,24,25,21,26,25,24,23,22,25,23,21
2008,22,20,21,20,23,20,20,21,19,19,20,19
2009,19,17,15,15,15,17,12,14,17,12,14,15
2010,16,17,16,20,18,16,18,17,17,18,16,17
2011,20,17,18,17,16,17,18,16,19,18,18,18
2012,19,19,21,20,21,21,19,24,20,19,20,19
2013,19,20,20,20,21,22,19,20,20,20,22,22
2014,19,20,20,21,22,25,25,24,28,22,22,23
2015,24,29,23,23,25,23,29,25,25,27,25,26
2016,29,26,24,26,26,26,29,26,28,27,27,27
2017,24,28,28,30,28,29,26,29,27,30,32,31
2018,32,30,34,36,32,33,33,29,33,33,32,31
2019,33,31,31,29,33,33,32,33,31,31,31,34
2020,34,37,33,27,30,32,32,30,31,33,34,34
2021,32,42,47,48,55,56,60,56,54,51,60,62
