Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,30,30,30,29,25,27,28,25,28,29,28,24
2002,26,22,24,25,23,22,25,26,21,22,23,23
2003,24,20,19,20,22,24,19,21,21,22,22,22
2004,23,24,23,21,26,20,27,21,22,24,22,26
2005,23,27,26,28,25,26,26,27,28,27,27,29
2006,30,27,35,33,30,35,30,32,34,27,33,30
2007,33,32,34,33,35,35,35,34,36,31,34,35
2008,30,31,29,25,29,24,26,25,22,26,20,19
2009,19,18,16,15,15,17,14,16,16,17,17,19
2010,20,19,20,28,20,18,20,22,22,22,23,21
2011,16,23,28,23,22,25,27,21,27,22,19,26
2012,25,25,28,26,29,33,25,24,26,26,26,26
2013,26,26,26,31,26,24,26,26,26,26,25,25
2014,26,28,27,30,34,33,34,37,32,33,34,35
2015,32,35,32,32,31,32,45,31,32,40,32,35
2016,34,35,37,38,37,37,40,35,37,35,37,34
2017,34,36,35,38,34,36,35,35,35,35,34,35
2018,38,48,41,41,42,45,42,45,42,47,49,49
2019,46,42,51,42,46,44,50,49,49,47,45,46
2020,49,41,38,36,34,33,36,36,42,41,40,40
2021,44,46,52,53,51,57,61,64,66,68,63,68
