Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,111,106,92,81,86,84,87,86,82,76,72,72
2002,71,67,69,71,68,65,64,61,67,77,67,61
2003,64,61,67,64,63,70,62,68,67,70,70,62
2004,65,65,66,61,65,59,72,68,67,68,65,88
2005,76,77,77,86,79,82,105,78,82,70,79,96
2006,89,92,110,103,90,104,100,95,104,110,107,117
2007,109,99,98,104,98,91,83,89,93,78,83,80
2008,88,76,84,70,69,77,65,74,66,73,69,57
2009,48,47,39,40,47,42,44,48,41,46,50,44
2010,51,52,43,55,55,55,63,58,58,70,54,53
2011,57,78,68,79,76,65,76,65,77,71,77,92
2012,99,86,110,83,79,90,83,78,91,84,80,86
2013,86,82,90,79,89,87,81,85,91,90,81,87
2014,76,93,95,82,94,93,87,108,86,95,116,94
2015,101,100,96,110,111,117,147,130,111,122,123,112
2016,119,112,135,110,130,115,122,108,103,101,106,131
2017,109,130,114,123,121,133,128,127,128,123,147,132
2018,135,128,139,161,133,148,159,150,160,167,154,163
2019,158,135,147,141,141,133,131,149,158,144,139,115
2020,139,161,143,107,137,140,144,138,142,145,145,142
2021,154,160,190,200,201,206,221,227,227,242,232,234
