Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,5234,5097,4762,4615,4425,4361,4447,4024,4071,3707,3775,3677
2002,3699,3436,3612,3471,3457,3412,3367,3517,3301,3479,3514,3169
2003,3441,3229,3099,3108,3289,3390,2981,3190,3091,3305,3324,3414
2004,3424,3532,3525,3511,3710,3337,3814,3541,3821,3943,3472,4074
2005,3804,3965,4044,4159,3797,4062,4256,4142,4352,4184,4248,4282
2006,4397,4325,4732,4790,4463,4614,4394,4710,4737,4591,4645,4620
2007,4763,4699,4962,4689,4657,4859,4598,4546,4652,4636,4646,4545
2008,4624,4279,4225,4035,4194,3830,3749,3674,3222,3377,3231,3146
2009,2738,2864,2534,2295,2549,2503,2232,2338,2487,2406,2503,2568
2010,2837,2666,2679,3153,2988,2801,3082,2999,2918,3235,3211,3058
2011,3104,3226,3261,3259,3179,3455,3623,3329,3774,3619,3565,3768
2012,3909,3616,3979,3793,3835,3911,3735,3809,3882,3775,3878,3970
2013,3923,4004,4076,3988,4145,4150,3885,4085,4128,4222,4119,4121
2014,4127,4373,4388,4566,4747,4982,4846,5349,4914,5012,4843,5130
2015,5344,5466,5210,5598,5563,5248,6056,5467,5488,5773,5708,5845
2016,6012,5770,6129,5803,5777,5742,5962,5677,5868,5591,5971,5964
2017,5617,5923,5811,6091,5826,6305,6238,6276,6320,6408,6271,6336
2018,6589,6578,6818,6903,6996,7237,7196,7211,7340,7365,7558,7435
2019,7473,7058,7320,7224,7295,7147,7080,7142,7100,7417,6896,6741
2020,7161,7006,5919,4709,5441,6039,6621,6315,6494,6874,6844,6938
2021,7232,7860,8480,9265,9639,9852,10783,10629,10673,11094,10922,11448
