Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,25,31,25,24,25,26,26,26,26,24,23,21
2002,43,22,21,20,37,22,20,21,19,21,20,18
2003,20,18,20,19,19,20,21,19,20,20,22,22
2004,22,22,21,22,22,21,22,22,23,24,18,24
2005,21,23,22,23,22,24,27,25,25,21,24,25
2006,36,26,28,28,28,27,25,29,28,26,27,26
2007,30,27,29,29,28,27,25,27,30,29,29,29
2008,25,29,26,28,27,26,26,23,21,23,22,21
2009,16,18,17,13,15,17,15,16,16,16,16,18
2010,16,17,18,17,17,18,20,18,19,20,20,18
2011,19,20,20,22,23,22,23,22,23,23,24,24
2012,29,24,26,24,24,23,22,22,21,21,22,22
2013,23,22,23,24,26,25,22,26,26,24,22,24
2014,23,27,25,25,26,30,25,28,26,27,22,26
2015,27,28,27,27,27,27,30,29,29,30,30,29
2016,28,28,35,29,29,30,30,30,28,29,31,33
2017,31,31,31,38,29,33,47,35,33,33,31,33
2018,32,35,36,35,38,41,40,39,43,39,41,40
2019,43,39,43,41,40,38,37,39,42,44,42,38
2020,50,44,39,36,37,41,48,46,45,47,46,46
2021,50,48,50,52,56,60,69,54,60,57,54,57
