Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,4.4,3.9,4.2,4.4,4.5,3.9,3.6,3.8,3.7,3.5,2.9,3.4
2002,3.8,2.7,2.9,2.9,2.7,2.7,2.9,2.9,2.7,2.9,3.0,2.7
2003,2.9,3.2,2.7,2.9,2.9,2.9,3.0,2.9,3.0,2.9,3.0,2.9
2004,2.5,3.2,3.3,3.2,3.0,2.5,3.0,2.9,3.2,3.2,2.7,3.2
2005,2.7,3.0,3.2,3.2,3.3,3.2,3.0,3.3,3.8,3.5,3.3,3.3
2006,3.8,3.3,3.8,3.7,3.6,3.3,3.5,3.8,3.6,3.8,3.9,3.9
2007,4.0,3.7,3.7,3.3,3.4,3.6,3.4,3.4,3.3,3.4,3.3,3.4
2008,3.3,3.3,3.3,3.3,3.4,3.1,3.3,3.0,2.8,3.0,3.0,2.9
2009,2.3,2.7,2.4,2.4,2.4,2.6,2.8,2.3,2.6,2.1,2.5,2.6
2010,2.6,2.6,2.5,3.6,2.9,2.5,2.9,2.8,2.8,2.9,2.9,2.9
2011,2.9,3.1,3.1,2.9,3.1,3.1,3.1,2.8,3.6,2.9,2.8,3.1
2012,3.2,3.1,3.1,3.1,2.8,3.1,2.8,3.4,3.1,3.1,2.8,2.8
2013,3.2,2.9,2.9,2.9,3.1,3.7,2.7,3.1,3.4,2.9,3.4,4.1
2014,2.6,3.1,3.1,3.2,3.5,3.6,3.7,3.5,3.0,3.6,3.3,4.2
2015,2.9,4.0,3.8,3.6,4.1,3.8,4.1,3.8,3.8,3.8,4.1,4.1
2016,4.5,4.2,4.0,5.5,4.2,4.3,4.2,4.2,4.2,4.2,4.3,4.2
2017,3.9,4.5,4.3,4.4,4.3,4.3,4.3,4.3,4.1,4.1,4.4,4.6
2018,5.6,4.4,4.8,5.8,4.8,5.0,5.0,4.4,5.1,5.0,5.1,4.7
2019,4.8,4.6,4.8,4.2,4.9,4.8,4.2,4.6,4.9,4.8,4.5,4.6
2020,4.6,4.8,3.8,4.2,4.1,4.1,4.3,4.1,5.4,4.8,4.6,4.6
2021,4.6,5.3,6.3,6.7,6.4,6.5,8.3,7.1,7.5,6.4,6.7,7.0
