Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,4.6,4.4,4.4,4.2,3.9,3.9,3.9,3.5,3.7,3.9,3.2,3.2
2002,3.7,3.2,3.2,3.2,3.4,3.2,3.4,3.4,3.2,3.4,3.6,3.4
2003,3.4,2.9,2.7,3.1,3.1,3.2,2.7,3.4,2.9,3.1,2.9,3.4
2004,2.7,3.3,3.3,3.3,4.7,3.1,4.0,3.1,3.5,3.5,3.5,4.2
2005,2.4,3.5,3.9,3.5,3.7,3.9,3.7,3.7,4.1,3.9,4.1,4.1
2006,4.3,4.2,4.6,4.2,4.2,4.2,4.1,4.4,4.4,4.4,4.6,4.2
2007,6.6,4.3,4.5,4.7,4.5,4.7,4.5,4.7,4.7,4.5,4.5,4.7
2008,4.7,3.9,3.9,3.5,5.3,3.1,3.7,3.3,3.3,3.5,2.9,2.9
2009,2.5,2.7,2.5,2.1,2.5,2.3,2.1,2.3,2.5,2.3,2.7,2.7
2010,2.7,3.0,2.9,2.9,2.7,2.5,2.7,2.7,2.9,3.2,3.2,2.7
2011,2.5,2.9,3.4,2.9,3.2,3.4,3.4,3.1,3.6,3.1,2.9,3.1
2012,2.9,2.7,3.1,3.1,3.3,3.3,3.3,3.1,3.3,3.1,3.5,3.7
2013,3.7,3.5,3.9,3.7,4.1,3.7,3.7,3.6,3.8,3.8,3.6,3.8
2014,4.0,4.0,3.6,4.2,4.2,4.4,4.6,4.6,4.2,4.2,4.4,4.4
2015,5.2,5.0,4.6,4.6,4.4,4.0,4.9,4.1,4.5,4.5,4.7,4.7
2016,5.3,4.3,4.7,4.9,5.1,4.7,4.5,4.5,4.5,4.9,5.2,4.7
2017,4.5,4.7,4.8,4.8,4.6,4.8,5.0,5.0,5.0,5.2,5.0,4.8
2018,5.0,4.8,5.0,4.6,5.2,5.5,5.3,5.5,5.5,5.3,5.5,5.5
2019,5.3,5.3,5.3,5.5,5.6,5.5,5.6,5.4,5.3,5.1,5.1,5.4
2020,5.4,5.2,4.9,4.3,4.9,4.0,4.9,4.9,5.2,5.2,5.4,5.6
2021,5.5,5.9,6.8,7.3,7.9,7.1,7.6,7.5,7.3,8.2,7.8,9.1
