Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,17,19,19,13,13,17,16,14,15,17,14,14
2002,15,13,13,13,13,13,13,13,13,12,12,11
2003,11,12,12,13,13,14,13,15,15,14,16,14
2004,23,15,12,14,14,13,15,13,14,17,12,14
2005,15,14,14,16,11,14,16,15,15,16,16,16
2006,16,15,17,17,16,18,15,16,15,16,15,17
2007,22,16,18,16,16,16,15,17,17,16,16,15
2008,16,16,15,14,14,14,12,12,11,11,11,10
2009,7,9,8,7,9,7,6,8,8,8,8,8
2010,9,8,10,10,10,9,12,10,10,11,10,11
2011,8,11,10,14,11,12,18,11,14,11,13,15
2012,16,13,15,14,15,14,14,13,13,13,13,13
2013,15,14,14,14,14,15,13,15,14,13,14,13
2014,12,16,15,14,16,17,16,19,17,20,18,18
2015,17,19,19,24,21,18,22,18,19,22,22,20
2016,21,19,23,20,19,21,19,19,19,17,18,19
2017,19,20,19,23,18,19,20,20,20,17,20,21
2018,20,21,20,22,23,23,22,22,24,22,22,23
2019,24,21,24,23,22,21,24,23,22,27,22,19
2020,22,23,19,17,18,22,22,23,23,23,19,19
2021,24,23,24,32,31,35,35,33,31,31,29,33
