Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,28,25,24,23,20,21,21,18,19,19,19,17
2002,18,16,16,17,18,17,17,19,16,19,17,17
2003,18,16,14,15,17,19,15,16,16,15,15,16
2004,15,17,18,15,22,17,21,18,19,19,19,21
2005,20,21,21,20,20,23,21,22,23,22,23,25
2006,24,24,27,25,26,22,24,26,25,27,27,26
2007,29,26,28,29,29,29,26,30,32,29,31,29
2008,32,27,25,20,29,20,23,21,19,20,17,17
2009,16,16,15,11,14,13,12,13,14,14,14,15
2010,15,15,16,17,17,17,19,17,16,19,19,18
2011,13,17,17,18,16,20,19,18,22,19,20,19
2012,19,16,19,17,21,21,19,19,20,18,24,22
2013,17,22,23,23,23,21,21,22,22,23,23,23
2014,25,27,21,27,27,29,31,31,29,31,28,27
2015,30,30,30,29,28,27,35,26,30,28,30,32
2016,27,28,33,38,34,35,35,32,31,30,34,31
2017,34,31,31,32,32,34,29,35,34,36,36,34
2018,34,36,33,37,39,39,40,39,39,41,39,40
2019,40,40,40,36,38,40,48,38,41,40,40,41
2020,39,40,36,36,35,32,38,37,35,39,41,42
2021,42,43,55,70,56,60,67,59,54,62,60,69
