Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,100,81,83,78,83,81,80,88,85,72,71,66
2002,68,62,74,68,65,70,69,65,66,67,88,60
2003,75,83,71,86,72,69,55,67,57,64,56,67
2004,64,61,69,58,69,58,70,62,68,77,73,69
2005,68,74,68,89,72,74,75,77,79,81,84,78
2006,86,83,79,101,79,98,81,84,86,72,78,73
2007,79,79,89,86,85,92,75,81,84,90,82,83
2008,75,76,69,64,70,63,73,77,63,66,56,57
2009,51,53,50,43,43,42,37,39,43,49,47,47
2010,61,44,52,49,55,52,55,58,46,45,55,53
2011,60,57,55,75,67,77,76,76,80,78,69,75
2012,79,83,97,78,79,77,74,70,93,76,77,93
2013,72,84,75,61,71,79,72,78,82,81,84,75
2014,85,63,82,87,89,92,93,91,89,101,105,104
2015,98,103,101,115,117,111,114,103,109,106,96,101
2016,111,116,115,106,116,110,125,113,112,103,111,120
2017,102,111,121,139,112,126,121,132,163,139,139,140
2018,147,159,188,169,167,176,164,176,155,161,180,173
2019,176,157,144,165,152,163,167,153,158,177,145,125
2020,156,150,114,89,125,131,149,138,150,153,154,145
2021,150,154,175,212,232,232,227,230,230,246,241,267
