Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,99,110,102,104,102,95,99,98,93,94,95,87
2002,96,82,91,85,81,91,74,92,85,93,89,82
2003,77,76,94,70,80,85,72,74,77,75,72,78
2004,82,86,77,76,83,74,92,80,98,92,71,92
2005,90,96,88,99,85,81,86,86,85,75,81,82
2006,89,78,89,96,86,97,72,90,80,87,99,98
2007,91,90,99,91,93,90,91,93,95,94,82,77
2008,90,82,82,80,76,81,81,68,61,74,66,66
2009,58,55,50,44,45,46,38,62,52,48,53,55
2010,93,48,56,82,63,58,68,67,72,70,66,66
2011,56,64,66,67,78,82,83,81,78,68,82,85
2012,86,77,85,75,74,74,70,72,78,82,80,73
2013,88,79,78,85,85,73,70,79,71,77,76,79
2014,65,81,89,85,93,104,99,128,86,96,87,111
2015,105,113,106,112,118,112,117,112,110,122,117,110
2016,115,122,122,113,100,100,111,118,112,115,112,107
2017,94,112,116,121,119,128,123,116,114,107,111,123
2018,129,115,120,126,132,135,144,142,146,144,143,138
2019,143,137,151,135,134,138,137,135,141,160,129,143
2020,164,154,132,99,112,133,155,138,141,148,137,131
2021,140,161,200,214,189,199,227,212,210,224,205,224
