Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,209,168,171,155,166,184,166,170,152,163,158,143
2002,135,148,172,152,136,128,134,134,130,124,118,130
2003,129,120,113,109,118,114,78,128,116,131,133,126
2004,124,123,129,119,132,129,118,117,129,133,127,156
2005,149,146,147,158,147,154,157,138,154,161,142,141
2006,138,149,158,160,162,158,146,160,186,155,166,154
2007,159,147,153,142,142,137,146,145,159,137,151,186
2008,172,165,167,151,142,144,127,132,109,123,115,124
2009,84,97,74,75,93,94,80,70,81,94,90,89
2010,106,105,99,102,96,74,100,98,94,86,112,104
2011,107,93,102,115,97,127,128,114,124,114,118,145
2012,125,146,147,130,137,126,122,148,162,157,146,143
2013,132,139,155,145,162,167,146,156,157,186,168,151
2014,161,164,161,196,184,195,197,187,178,184,172,186
2015,212,209,199,218,207,209,226,201,223,236,227,235
2016,243,245,245,232,240,219,258,244,230,192,271,240
2017,246,245,250,238,201,249,229,265,256,264,249,246
2018,257,255,274,282,261,299,282,273,283,277,294,300
2019,310,262,277,298,284,257,291,262,269,278,264,250
2020,252,260,199,176,220,243,241,240,247,254,250,249
2021,254,281,286,303,316,332,409,343,378,423,426,412
