Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,59,63,61,57,52,53,53,43,40,43,45,39
2002,43,38,37,41,38,39,38,49,42,42,42,33
2003,49,35,37,36,40,39,34,40,38,39,38,43
2004,47,45,47,42,58,42,57,42,51,52,46,54
2005,51,51,53,53,45,56,59,55,57,54,59,56
2006,50,60,62,60,54,50,54,60,58,62,64,62
2007,80,64,65,69,71,76,65,69,67,70,79,61
2008,62,57,60,49,56,45,50,44,45,51,40,39
2009,37,37,37,33,38,38,32,34,38,34,35,37
2010,36,41,36,41,35,33,39,44,33,39,44,41
2011,33,40,39,42,39,43,43,44,49,45,41,44
2012,39,39,43,42,56,50,43,40,39,40,43,46
2013,48,46,55,48,52,42,48,50,50,50,54,50
2014,59,60,57,57,57,57,63,69,63,63,60,73
2015,62,69,67,69,63,70,75,65,69,77,78,72
2016,70,73,80,86,89,71,78,77,74,68,79,73
2017,70,75,74,81,77,89,91,88,88,90,87,84
2018,89,85,85,82,93,91,98,103,103,105,101,101
2019,108,91,104,100,98,106,98,97,101,107,100,117
2020,108,114,99,73,70,78,95,101,99,96,106,92
2021,104,114,125,119,128,137,178,152,142,145,139,156
