Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,14,14,13,13,14,12,13,11,12,10,9,9
2002,11,9,9,9,9,9,10,10,9,10,10,8
2003,12,9,8,10,10,9,8,9,8,8,9,9
2004,8,10,10,11,10,9,9,9,11,11,12,11
2005,11,10,11,10,10,10,11,11,11,11,10,11
2006,17,11,11,12,11,11,9,11,11,12,11,12
2007,12,13,13,11,11,12,12,11,11,11,12,11
2008,16,10,11,10,12,9,10,10,9,10,9,8
2009,8,8,7,7,8,8,7,7,7,7,7,7
2010,8,8,8,11,7,7,11,8,8,10,9,9
2011,10,9,8,9,9,8,9,8,10,9,9,9
2012,9,9,10,12,10,10,10,10,9,9,11,9
2013,9,10,11,9,10,11,10,11,10,9,10,10
2014,10,10,10,12,11,13,11,12,11,12,12,12
2015,14,13,11,12,14,12,17,12,13,14,14,14
2016,16,14,14,13,14,14,13,14,15,13,14,14
2017,13,14,16,17,14,15,17,15,15,15,15,16
2018,13,18,16,16,15,17,18,17,17,18,17,16
2019,17,16,16,14,18,17,16,16,16,17,16,15
2020,17,16,13,14,14,13,7,13,16,15,14,15
2021,15,16,19,26,24,23,21,24,25,24,25,26
