Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,3.1,3.3,3.1,3.3,3.0,3.4,3.4,3.2,3.1,2.8,2.7,2.8
2002,2.9,2.2,2.8,2.5,2.4,2.2,2.2,2.3,2.2,2.4,2.5,2.2
2003,2.9,2.1,2.2,2.2,2.6,2.2,2.2,1.9,2.3,2.3,2.2,2.5
2004,1.9,2.5,2.2,2.2,2.6,2.3,2.5,2.5,2.5,2.6,2.6,2.6
2005,2.2,2.4,2.6,2.9,2.3,2.7,2.6,2.7,2.7,2.4,2.6,2.7
2006,2.7,2.6,3.0,3.0,3.0,2.8,2.7,2.7,3.0,2.8,3.0,2.7
2007,3.0,3.1,3.2,3.2,2.8,2.8,3.1,2.8,3.1,3.2,2.7,2.8
2008,2.5,2.5,2.9,2.6,2.6,2.5,2.6,2.5,2.1,2.2,2.2,2.0
2009,1.8,2.0,1.5,1.4,1.6,1.7,1.5,1.7,2.0,2.1,2.6,2.5
2010,3.3,2.0,2.2,2.3,2.1,2.3,2.3,2.5,1.8,2.5,1.9,2.0
2011,1.9,2.0,1.9,2.8,2.4,2.3,2.3,2.3,2.4,2.0,2.0,2.3
2012,2.8,2.3,2.8,2.3,2.5,2.5,2.3,2.3,2.4,2.9,2.5,2.1
2013,2.1,2.5,2.8,2.5,2.2,2.1,2.4,2.2,2.0,2.2,2.1,2.1
2014,2.4,2.5,2.6,2.6,3.0,3.1,2.9,3.2,3.3,3.2,3.2,3.6
2015,3.3,3.2,2.9,3.4,3.3,3.3,3.5,3.4,3.3,3.5,3.5,3.6
2016,3.9,3.2,3.5,4.3,3.4,3.4,3.8,3.4,3.1,3.0,3.7,3.2
2017,3.6,3.3,3.7,3.3,3.3,3.8,3.4,3.3,3.6,2.8,3.1,3.0
2018,3.9,2.8,3.1,3.1,3.6,3.2,3.2,3.2,3.5,3.5,3.2,3.4
2019,3.4,3.9,3.7,3.6,3.8,3.5,3.7,3.9,4.0,4.4,4.0,3.6
2020,3.5,4.1,3.2,3.9,2.6,3.6,4.7,4.1,3.3,3.8,4.1,3.7
2021,4.1,3.9,3.9,5.1,3.8,5.0,5.8,4.9,4.9,5.0,5.1,5.2
