Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,4.0,4.5,3.4,3.3,3.1,3.0,4.3,3.1,3.7,3.1,2.8,2.9
2002,2.7,2.7,3.0,2.6,2.5,2.8,2.6,2.8,2.3,2.6,2.8,2.5
2003,2.6,2.3,2.2,2.3,2.6,2.5,2.2,2.3,2.4,2.4,2.4,2.5
2004,2.5,3.0,2.4,2.6,3.0,2.7,2.9,2.7,2.7,3.0,2.4,3.1
2005,3.0,3.2,3.4,3.4,2.9,2.9,3.6,3.2,3.2,2.7,2.9,3.0
2006,3.2,2.8,3.6,3.4,2.9,3.3,3.1,3.3,3.2,3.2,3.4,3.2
2007,3.3,3.3,3.2,3.2,3.1,3.1,3.3,2.9,3.3,3.0,3.0,3.3
2008,3.2,3.0,3.0,2.6,2.6,2.3,2.2,2.3,1.9,2.3,2.3,1.9
2009,1.8,2.1,1.5,1.6,1.9,2.0,1.8,1.8,1.8,1.8,1.7,1.7
2010,1.8,1.8,1.6,2.0,2.0,2.2,2.2,2.2,2.3,2.4,2.5,2.3
2011,2.3,2.3,2.3,2.3,2.0,2.2,2.2,2.1,2.7,2.1,2.5,2.5
2012,3.1,2.5,2.4,2.6,2.7,2.7,2.5,3.0,2.5,2.3,2.6,2.8
2013,3.1,2.9,3.0,2.9,3.0,2.6,2.8,3.1,3.0,3.0,3.0,2.8
2014,2.7,3.0,3.1,3.6,3.2,3.5,3.6,3.5,3.6,3.6,3.2,3.2
2015,3.4,3.6,3.7,3.8,4.3,3.9,4.6,3.9,3.5,3.7,3.8,4.3
2016,4.4,4.3,4.9,4.2,4.3,4.1,4.3,4.1,4.4,4.2,4.3,4.2
2017,4.1,4.4,4.0,4.7,4.3,4.5,4.5,4.4,4.2,4.4,4.6,4.2
2018,4.8,4.7,4.8,4.9,4.9,4.9,4.9,4.9,4.7,5.0,4.8,4.9
2019,4.7,4.7,5.0,4.9,4.5,4.6,4.7,4.7,5.0,5.0,4.9,4.9
2020,4.8,4.6,3.2,3.4,4.9,5.1,5.4,5.6,5.3,5.4,5.5,5.8
2021,6.5,5.9,6.1,6.9,7.3,7.4,7.7,8.4,8.3,8.2,8.3,8.2
