Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,3.3,3.0,3.2,3.1,3.1,3.0,3.0,3.2,3.0,2.7,2.6,2.5
2002,2.5,2.7,2.5,2.3,2.2,2.4,2.1,2.0,2.0,2.2,2.1,2.2
2003,2.4,1.9,2.0,2.0,2.1,2.1,1.7,2.2,2.2,2.4,2.4,2.4
2004,2.9,2.4,2.2,2.2,2.3,2.1,2.3,2.1,2.3,2.8,2.2,2.6
2005,2.3,2.5,2.6,2.6,2.6,2.6,2.4,2.2,2.6,2.7,2.6,2.4
2006,2.5,2.8,2.8,2.9,2.7,2.8,2.5,2.9,2.9,2.7,2.6,2.5
2007,2.8,2.6,2.8,2.5,2.7,2.7,2.8,2.6,2.6,2.5,2.5,2.9
2008,2.4,2.4,2.4,2.3,2.5,2.4,2.2,2.4,2.2,2.3,2.1,2.1
2009,1.6,2.0,1.5,1.5,1.8,1.5,1.5,1.5,1.7,1.6,2.0,1.9
2010,2.2,2.1,2.4,2.6,2.1,2.0,2.1,1.8,1.8,2.3,2.1,2.1
2011,2.2,2.6,2.4,2.4,2.3,2.7,2.6,2.6,2.7,2.7,2.6,2.5
2012,2.6,2.6,2.5,2.5,2.9,3.0,3.0,2.7,2.8,2.8,2.7,2.8
2013,2.7,2.8,2.8,3.1,2.9,2.9,2.5,2.9,3.3,3.2,3.0,3.1
2014,3.2,3.0,3.1,3.1,2.6,3.1,3.0,3.4,2.9,3.1,2.9,3.0
2015,2.9,3.3,3.2,3.4,3.5,3.1,3.5,3.4,3.5,3.5,3.6,3.6
2016,3.9,3.6,4.1,3.7,3.4,3.4,4.2,3.3,3.4,3.3,3.6,3.9
2017,3.3,3.6,3.4,3.7,3.5,4.1,4.0,4.1,4.4,4.2,3.9,4.1
2018,4.5,4.4,4.6,4.3,4.9,4.8,4.8,4.9,4.9,4.9,4.9,5.0
2019,4.5,4.5,4.7,4.7,4.6,4.8,4.5,4.3,4.5,4.6,4.4,4.2
2020,4.7,4.4,3.3,3.4,3.6,3.9,4.6,4.1,4.4,4.6,4.5,4.5
2021,4.6,4.8,5.3,6.2,5.4,5.6,6.3,6.0,6.8,7.1,6.9,7.4
