Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,3.9,3.7,3.4,3.3,3.4,3.1,3.5,3.3,3.4,3.1,2.9,2.9
2002,3.4,2.5,3.0,2.9,2.8,3.2,2.6,3.0,2.9,3.0,3.1,2.9
2003,2.8,2.9,3.0,2.7,3.0,3.1,3.0,2.6,3.0,2.8,2.9,2.8
2004,3.1,3.1,2.7,3.2,2.9,3.0,3.2,3.2,2.9,3.2,3.2,3.4
2005,3.5,3.1,3.5,3.6,3.0,3.2,3.5,3.6,3.2,4.5,5.0,4.4
2006,3.9,3.6,4.3,4.4,4.3,3.9,3.9,4.0,4.5,3.8,4.0,3.7
2007,4.2,4.0,4.4,4.1,3.9,4.4,4.0,3.8,3.8,3.4,3.5,3.6
2008,3.3,3.3,3.0,3.2,3.1,3.0,3.0,3.1,2.3,3.1,2.7,2.6
2009,2.4,2.4,1.9,1.9,2.3,2.1,2.0,1.8,2.1,1.9,1.8,2.0
2010,1.9,1.9,2.0,1.9,2.0,1.8,2.5,1.9,2.1,2.6,2.2,2.2
2011,2.3,2.3,2.4,2.6,2.5,2.3,2.7,2.6,2.9,2.5,2.6,2.6
2012,3.0,2.6,2.6,2.7,2.7,3.2,2.5,2.6,2.5,2.7,2.6,2.9
2013,2.9,2.8,2.8,2.6,2.9,2.7,2.4,3.0,2.7,2.9,2.9,2.7
2014,2.6,3.0,3.0,2.9,2.8,3.5,3.4,3.5,3.7,3.5,3.4,3.4
2015,3.8,3.7,3.5,4.8,4.2,3.9,4.1,4.0,3.3,4.1,4.1,4.1
2016,4.1,4.2,4.1,3.7,4.0,3.4,3.6,3.5,3.7,3.4,3.6,3.8
2017,3.8,3.8,3.7,3.8,3.5,3.5,3.6,3.4,3.5,3.4,4.0,3.7
2018,3.7,3.6,4.0,4.0,3.9,4.4,4.3,4.1,3.9,4.2,4.2,4.3
2019,4.3,4.1,4.4,4.4,4.3,4.4,4.4,4.8,4.8,4.6,4.5,4.1
2020,4.3,4.7,3.4,3.4,4.5,4.4,4.8,5.3,4.9,5.5,5.0,4.6
2021,5.3,5.4,5.4,5.5,5.7,6.4,6.7,6.9,7.0,7.8,6.5,7.2
