Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,3.6,3.9,3.6,3.9,3.4,3.1,3.2,3.0,2.8,2.0,2.5,2.5
2002,2.5,2.3,2.5,2.5,2.2,2.3,2.3,2.3,2.3,2.6,2.6,2.1
2003,2.4,2.2,2.0,2.0,2.3,2.6,2.3,2.4,2.4,2.3,2.5,2.4
2004,1.9,2.4,3.3,2.6,2.8,2.4,2.5,2.5,2.7,2.9,2.6,2.8
2005,2.7,3.0,2.6,2.8,2.8,2.8,2.8,2.7,3.0,2.9,2.8,3.1
2006,3.1,3.4,3.5,3.7,3.3,3.2,3.0,3.1,3.2,3.0,3.0,3.2
2007,2.8,3.0,3.3,3.0,2.8,3.0,2.7,2.8,2.8,2.7,3.0,2.6
2008,2.9,2.5,2.5,2.5,2.6,2.4,2.6,2.7,2.4,2.5,2.4,2.3
2009,2.0,2.2,2.1,2.0,2.3,2.6,2.0,1.9,2.6,2.1,2.2,2.4
2010,2.6,2.1,2.3,3.0,2.7,2.6,2.9,2.7,2.7,3.2,2.7,2.4
2011,2.5,2.5,2.6,2.5,2.3,2.5,2.5,2.2,2.4,2.3,2.2,2.6
2012,2.6,2.6,2.6,2.4,2.5,2.6,2.4,2.6,2.4,2.6,2.7,2.6
2013,2.9,2.6,3.0,2.7,2.7,3.1,2.6,3.0,3.2,2.9,3.0,3.0
2014,2.8,3.1,3.1,3.3,3.6,3.7,3.3,4.1,3.5,3.8,3.7,3.8
2015,3.9,4.0,3.8,4.8,4.1,3.4,3.9,3.8,3.9,4.1,4.3,4.3
2016,3.9,3.7,3.8,3.7,3.9,3.8,4.1,3.8,4.1,3.8,3.8,4.2
2017,4.0,4.9,4.1,4.0,3.8,4.0,4.2,4.0,3.7,4.1,3.8,3.5
2018,3.8,3.9,3.8,4.2,4.3,4.3,4.1,4.1,4.6,4.4,5.4,5.0
2019,4.9,4.6,4.8,4.7,4.6,4.4,3.8,4.6,4.2,4.1,4.0,3.8
2020,4.2,4.7,3.6,3.9,3.9,4.5,4.6,4.0,4.1,4.5,4.6,4.2
2021,4.2,4.8,5.9,5.7,6.2,6.1,7.6,7.4,7.4,7.9,7.5,7.1
