Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,25,28,32,27,25,27,25,24,20,29,42,30
2002,30,26,29,29,33,30,31,23,28,28,23,28
2003,40,31,29,31,29,30,32,47,33,29,28,31
2004,32,29,28,23,24,34,26,30,23,27,31,28
2005,28,26,33,31,32,35,32,23,30,29,24,29
2006,22,27,28,22,28,24,25,40,27,23,27,27
2007,26,26,29,35,31,22,33,28,30,26,27,23
2008,24,26,21,27,25,25,23,29,29,35,36,53
2009,43,38,30,28,30,39,28,26,34,28,31,21
2010,22,25,28,25,25,29,28,28,24,26,24,24
2011,29,26,25,26,24,27,25,25,25,26,31,33
2012,30,32,25,34,40,24,21,29,29,26,22,24
2013,24,20,25,26,29,27,29,26,29,31,21,25
2014,24,21,21,21,18,21,18,24,21,24,22,23
2015,25,24,23,19,18,21,18,19,23,22,26,27
2016,17,28,35,19,23,23,30,29,20,27,20,20
2017,17,21,26,21,24,23,25,22,23,22,35,23
2018,33,26,22,24,24,32,22,23,24,20,22,19
2019,23,23,21,29,20,22,21,25,29,17,16,24
2020,17,19,92,87,27,32,18,14,15,18,23,19
2021,23,22,19,20,17,20,28,17,26,23,19,23
