Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,256,217,209,216,196,194,239,239,229,275,227,198
2002,201,171,172,235,223,187,201,199,259,230,225,222
2003,223,222,239,222,240,236,242,222,219,226,232,233
2004,240,257,234,205,217,206,216,211,282,206,221,240
2005,222,208,205,198,215,206,191,224,219,192,203,211
2006,257,247,237,274,246,227,245,203,211,228,205,189
2007,198,197,236,207,221,210,208,225,215,215,209,199
2008,213,224,238,223,194,242,208,254,231,271,263,267
2009,266,298,253,340,238,242,335,247,239,230,180,253
2010,227,206,187,207,192,193,218,198,182,187,194,185
2011,140,156,151,135,213,196,202,197,224,164,195,191
2012,189,191,189,188,169,220,191,210,189,188,246,215
2013,205,192,182,238,207,162,195,186,200,191,187,183
2014,211,228,221,206,223,259,193,180,186,211,198,197
2015,171,198,254,218,202,205,224,211,242,188,173,190
2016,189,163,180,201,220,195,142,183,160,176,183,154
2017,176,163,182,170,148,160,173,173,179,177,165,164
2018,179,212,184,166,155,157,167,203,165,177,181,185
2019,177,198,139,254,250,178,263,186,217,203,228,234
2020,200,216,1515,1107,217,289,249,216,199,226,239,290
2021,257,194,120,148,125,126,97,129,121,129,104,116
