Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,50,38,47,37,43,37,44,52,61,53,50,47
2002,54,52,37,43,31,62,47,31,36,37,42,45
2003,41,56,38,35,31,35,37,37,32,36,39,48
2004,36,34,49,48,51,39,46,38,39,41,35,32
2005,34,33,32,31,39,37,28,36,42,34,33,29
2006,36,40,33,43,29,31,23,35,31,28,34,26
2007,27,28,29,35,34,45,37,31,29,56,29,32
2008,37,40,36,24,34,36,42,36,35,40,46,45
2009,47,42,44,38,34,34,55,47,38,36,40,48
2010,41,35,37,47,27,35,34,42,40,41,38,31
2011,28,59,28,29,39,44,33,25,34,29,25,34
2012,25,30,28,35,36,33,28,30,30,31,33,19
2013,39,27,32,32,31,28,37,45,42,35,32,40
2014,44,42,43,31,34,38,38,30,34,33,38,28
2015,29,34,28,38,31,54,36,32,29,33,43,41
2016,47,48,46,48,33,37,52,40,45,44,38,59
2017,29,31,26,25,39,29,27,35,30,31,25,26
2018,36,46,39,46,39,41,40,30,30,26,32,29
2019,32,31,37,33,31,20,33,42,36,44,38,37
2020,33,31,265,242,33,52,46,20,36,28,83,54
2021,40,33,54,14,22,33,49,72,24,35,38,43
