Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,6,6,6,6,5,8,7,5,7,9,10,7
2002,7,7,8,7,7,7,7,7,7,7,7,7
2003,8,10,7,6,8,7,8,10,8,7,8,8
2004,8,7,8,8,9,7,7,7,6,7,7,7
2005,7,7,7,6,6,8,7,7,7,7,6,9
2006,6,6,8,6,7,6,7,7,7,6,9,6
2007,8,7,7,6,6,6,7,7,9,6,6,6
2008,6,6,6,8,8,9,7,7,7,7,8,9
2009,8,8,8,8,7,7,7,6,8,7,9,6
2010,6,7,6,5,6,6,6,6,6,6,6,6
2011,7,6,7,7,7,6,7,7,7,7,7,6
2012,7,6,7,7,7,7,5,7,7,9,6,6
2013,6,6,5,5,6,7,6,7,9,7,7,7
2014,6,7,6,6,5,6,7,6,7,6,6,7
2015,8,6,7,7,5,6,5,6,6,8,6,6
2016,6,6,6,5,6,6,6,6,5,5,5,6
2017,5,6,6,6,7,7,8,6,6,7,6,7
2018,8,7,6,7,6,6,6,7,6,6,6,7
2019,7,6,6,8,6,6,5,6,8,6,6,6
2020,5,5,34,29,6,7,6,5,4,5,5,5
2021,5,5,7,9,5,5,5,5,4,5,4,6
