Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,10,5,8,7,8,7,7,7,7,10,8,7
2002,7,7,6,7,8,7,8,6,7,6,8,7
2003,7,9,9,6,6,8,8,8,7,10,7,9
2004,7,8,8,7,8,6,6,9,8,7,7,8
2005,9,6,7,11,9,18,7,6,9,7,8,6
2006,8,8,8,8,7,7,7,7,7,7,6,6
2007,9,6,6,7,6,7,7,7,6,8,8,6
2008,8,8,8,8,8,8,7,8,8,9,10,10
2009,8,9,9,11,8,6,9,9,9,7,8,8
2010,8,7,7,7,6,8,8,8,10,7,7,8
2011,6,7,7,7,8,6,7,7,6,7,7,7
2012,7,7,5,7,7,7,8,7,7,7,7,7
2013,6,7,6,9,7,7,7,8,8,5,9,7
2014,10,6,10,8,7,7,6,6,6,6,6,6
2015,7,7,7,7,8,6,9,8,9,8,8,9
2016,8,8,7,9,9,10,10,13,8,6,7,6
2017,6,6,6,5,4,5,6,6,7,7,6,6
2018,7,6,6,6,5,6,5,7,6,7,8,7
2019,7,6,7,8,7,7,9,6,8,7,7,7
2020,4,7,57,65,10,9,9,5,12,6,7,6
2021,6,6,9,11,6,5,9,8,12,6,6,5
