Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,26,21,17,31,24,30,30,28,35,35,48,32
2002,31,21,26,28,25,23,26,23,28,25,24,24
2003,29,28,27,25,26,30,30,30,25,27,28,26
2004,25,27,28,23,29,26,26,27,23,24,29,28
2005,28,26,31,27,32,31,28,33,25,21,24,28
2006,21,25,31,26,26,27,31,28,28,30,40,31
2007,33,33,35,35,33,25,27,35,44,34,29,43
2008,29,26,22,34,28,32,29,28,35,30,30,34
2009,36,47,30,31,30,27,28,25,30,30,28,23
2010,23,24,22,21,25,26,24,22,22,18,21,25
2011,35,25,26,25,24,26,26,35,28,22,32,24
2012,25,28,32,28,22,28,22,31,25,33,25,24
2013,29,24,22,21,21,32,23,21,26,25,19,21
2014,21,27,24,26,28,21,25,29,28,23,35,27
2015,27,21,22,22,28,26,21,22,20,27,24,32
2016,27,26,28,22,22,24,23,22,19,21,29,20
2017,23,21,25,25,27,25,24,26,25,23,22,25
2018,26,21,22,34,18,23,25,27,24,27,22,25
2019,25,26,22,26,19,24,22,23,31,20,24,20
2020,20,28,141,146,23,27,17,17,21,20,32,21
2021,23,22,30,23,21,20,21,20,25,24,20,27
