Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,97,94,89,64,74,70,71,54,66,85,53,75
2002,75,58,72,78,69,50,60,70,68,59,39,81
2003,64,49,72,72,76,94,65,74,80,49,68,53
2004,55,62,53,52,56,66,78,73,62,74,71,69
2005,77,72,75,89,47,76,76,100,72,73,70,68
2006,57,73,56,58,76,70,56,57,63,73,76,60
2007,68,70,74,66,78,66,75,62,110,55,75,87
2008,65,68,58,71,56,70,73,62,66,75,73,85
2009,96,88,101,81,95,69,57,83,74,104,43,51
2010,52,45,58,59,37,73,81,69,63,60,65,68
2011,62,47,79,66,61,75,60,59,103,62,89,75
2012,84,75,61,63,55,67,46,62,59,52,47,41
2013,42,58,43,51,101,53,60,49,45,44,44,51
2014,69,47,42,55,55,51,61,54,49,66,57,73
2015,54,41,67,67,71,50,43,51,71,49,55,47
2016,53,44,106,53,42,56,44,49,48,48,43,50
2017,57,45,58,52,56,64,99,71,50,57,40,48
2018,46,48,29,56,79,48,55,43,57,41,63,45
2019,43,53,44,49,33,45,41,28,51,71,68,56
2020,32,66,524,308,70,70,51,52,44,53,111,50
2021,40,50,41,48,43,44,45,51,63,50,42,37
