Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,10,6,11,8,8,7,7,7,8,11,7,7
2002,9,8,7,8,7,7,9,8,8,8,9,8
2003,9,11,9,7,9,9,9,10,8,9,9,9
2004,8,8,9,10,10,6,9,8,12,9,8,11
2005,7,7,8,7,8,8,7,9,10,7,8,8
2006,8,9,9,10,9,11,8,8,8,7,7,7
2007,8,7,7,8,8,9,8,9,7,9,9,8
2008,9,9,8,8,8,9,9,10,9,11,11,11
2009,11,11,11,11,10,9,13,9,11,9,8,13
2010,9,8,9,10,7,8,10,8,8,9,8,10
2011,6,8,7,7,8,8,8,9,9,7,8,7
2012,7,9,6,9,9,10,8,10,8,9,9,7
2013,9,8,8,9,9,9,9,9,9,8,10,8
2014,8,9,8,7,8,8,9,7,8,8,8,12
2015,8,8,9,10,8,8,9,8,10,9,8,12
2016,8,8,6,14,8,7,9,10,8,8,8,8
2017,7,7,7,7,6,7,8,7,7,7,7,6
2018,7,7,8,7,7,8,6,6,5,6,6,6
2019,7,6,6,7,9,7,8,5,11,19,8,8
2020,7,8,43,38,7,8,9,5,6,6,13,7
2021,12,7,7,6,5,5,6,7,6,6,8,5
