Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,6,7,5,4,8,6,4,6,7,6,6,5
2002,5,5,6,6,7,6,5,5,6,5,5,5
2003,6,5,5,6,5,6,6,6,5,5,6,6
2004,6,5,6,5,5,5,5,5,6,5,6,5
2005,5,6,6,5,5,5,5,6,6,5,5,6
2006,5,6,5,5,7,5,5,5,5,5,6,5
2007,5,5,5,7,6,5,7,7,6,7,5,6
2008,6,6,5,6,6,6,6,6,6,6,7,6
2009,8,7,8,7,7,7,5,7,7,6,5,7
2010,6,5,7,6,7,8,8,6,6,5,7,6
2011,6,4,6,9,7,8,6,6,7,6,6,6
2012,7,7,8,7,7,8,8,9,8,6,9,7
2013,6,8,6,7,7,6,8,7,8,7,8,9
2014,7,7,7,9,7,6,7,6,6,9,9,8
2015,9,9,13,11,10,10,8,8,8,8,7,8
2016,8,7,10,6,6,7,7,7,7,7,6,9
2017,6,5,7,6,6,7,6,7,6,7,6,6
2018,5,6,5,6,6,5,5,7,6,6,8,5
2019,7,5,5,6,5,6,6,6,6,6,7,6
2020,6,7,47,30,12,7,6,6,6,7,10,5
2021,6,7,6,5,8,6,6,6,6,9,5,6
