Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,112,77,101,97,139,102,86,100,93,121,110,80
2002,69,78,80,87,84,97,88,78,90,68,89,100
2003,80,75,70,78,72,72,71,72,70,83,67,72
2004,80,93,94,63,60,72,57,69,84,69,101,71
2005,96,78,83,89,95,85,89,82,69,94,68,82
2006,69,78,79,67,105,69,95,85,69,61,65,77
2007,67,82,55,84,80,71,79,77,97,87,71,75
2008,91,66,81,67,72,65,61,71,69,75,78,100
2009,111,98,87,114,80,101,55,64,86,67,53,54
2010,50,48,73,54,49,93,79,58,57,52,56,50
2011,57,62,62,57,77,84,59,73,62,50,71,51
2012,39,70,43,58,62,40,67,56,65,46,71,63
2013,55,50,64,56,75,50,52,73,59,72,66,65
2014,58,65,53,75,44,69,69,55,68,79,82,89
2015,89,53,104,103,86,99,84,91,76,93,73,90
2016,90,85,66,54,75,86,75,93,82,74,83,71
2017,62,53,77,51,57,52,48,68,61,68,55,59
2018,57,66,67,66,67,60,94,59,58,72,71,58
2019,66,53,65,95,59,66,64,59,65,31,71,67
2020,68,85,519,317,80,66,72,78,73,65,70,63
2021,50,65,61,48,46,82,60,47,78,46,47,44
