Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,2220,1855,2133,1883,2029,2015,2038,2011,2107,2319,2255,1922
2002,1907,1978,1883,1956,1967,2015,2102,1923,2022,1935,1944,2007
2003,2109,2015,1949,1998,2072,2076,2062,2162,1932,1969,1951,2007
2004,2037,1985,2065,2010,1914,1887,1885,1974,2027,1903,2037,1951
2005,2008,2068,2188,1957,2021,2015,1898,1905,2032,1873,1769,1923
2006,1784,1882,1888,1853,1991,1817,1860,1775,1831,1898,1926,1772
2007,1922,1850,1882,2000,1967,1845,1896,2033,2188,1998,1966,1915
2008,1989,1995,1918,1958,1950,2172,2071,2190,2088,2250,2290,2482
2009,2581,2599,2575,2654,2231,2261,2267,2119,2195,2028,1913,2033
2010,1880,1825,1924,1749,1762,2075,2166,1890,1832,1745,1849,1854
2011,1827,1755,1794,1792,1904,1942,1845,1845,1872,1794,1912,1801
2012,1797,1903,1784,1880,1969,1892,1722,1894,1805,1891,1921,1700
2013,1678,1664,1787,1793,1836,1761,1713,1816,1892,1675,1630,1770
2014,1806,1767,1703,1764,1710,1761,1781,1699,1718,1835,1726,1857
2015,1789,1757,1973,1856,1711,1821,1703,1773,1964,1845,1779,1803
2016,1805,1894,1850,1771,1825,1750,1759,1860,1588,1664,1751,1708
2017,1745,1711,1762,1710,1794,1970,1910,1868,1787,1837,1747,1732
2018,1953,1784,1797,1734,1754,1815,1813,1790,1772,1828,1933,1831
2019,1735,1789,1702,1967,1753,1762,1844,1786,1961,1819,1777,1919
2020,1821,1973,13026,9191,2180,2279,1850,1598,1531,1687,2097,1928
2021,1582,1641,1512,1384,1343,1361,1440,1404,1405,1342,1295,1262
