Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,40,34,49,35,36,57,48,55,48,59,65,47
2002,48,45,45,53,47,35,43,40,43,38,64,52
2003,52,50,68,62,59,62,75,74,56,57,52,52
2004,51,55,43,42,50,50,37,43,48,51,48,46
2005,54,79,44,40,38,41,35,39,36,43,40,50
2006,34,36,42,38,50,41,44,40,42,42,48,40
2007,50,36,55,58,45,57,51,32,56,40,38,40
2008,39,48,31,71,41,44,49,49,46,44,45,58
2009,50,52,51,54,58,53,50,50,75,49,71,51
2010,47,45,44,42,52,57,48,48,32,38,38,46
2011,63,47,53,43,41,35,35,45,54,64,56,52
2012,56,97,28,40,41,69,38,48,40,54,44,34
2013,38,39,41,55,45,56,76,50,40,38,24,51
2014,45,44,52,50,41,44,43,48,60,46,46,42
2015,46,98,42,38,65,41,43,30,39,49,50,54
2016,35,39,32,38,33,35,31,37,41,34,29,56
2017,37,44,37,30,72,55,35,51,43,45,41,38
2018,52,35,36,37,35,30,42,56,33,27,32,32
2019,68,39,37,49,42,55,43,43,49,54,41,49
2020,31,38,289,180,79,42,40,34,17,60,48,34
2021,37,41,44,35,48,37,27,38,28,30,29,32
