Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,67,44,58,44,51,44,49,42,44,58,40,38
2002,42,60,30,43,44,67,51,52,33,42,48,43
2003,39,52,40,36,44,37,42,46,38,34,44,42
2004,47,31,40,49,42,39,42,35,46,40,37,42
2005,37,52,27,47,53,40,55,39,53,55,46,30
2006,45,39,50,35,30,42,30,40,40,35,40,36
2007,40,28,38,27,44,53,30,41,45,37,44,32
2008,52,50,53,63,42,53,53,77,45,81,50,68
2009,72,91,72,72,49,37,59,49,41,39,47,55
2010,34,32,35,38,34,39,52,29,39,34,34,60
2011,37,46,35,42,36,42,39,46,39,40,47,43
2012,37,36,28,29,32,45,39,38,49,32,32,24
2013,31,27,50,34,34,33,32,36,62,21,45,43
2014,33,42,33,48,50,32,37,36,28,27,26,29
2015,49,34,37,29,35,56,38,30,33,41,41,29
2016,35,39,31,36,28,30,31,48,38,47,32,39
2017,35,22,32,27,17,28,31,48,48,32,34,25
2018,43,28,57,48,45,54,29,40,34,36,45,39
2019,44,41,43,44,44,37,48,38,44,45,39,47
2020,39,62,284,245,49,46,42,18,34,26,50,56
2021,44,35,36,41,21,29,36,23,25,25,24,28
