Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,7,5,7,5,6,5,5,6,6,6,5,5
2002,6,7,5,7,6,6,6,5,5,6,6,6
2003,5,8,5,5,5,5,5,6,5,7,6,6
2004,6,5,6,6,8,5,5,5,7,5,5,5
2005,5,5,5,5,7,5,5,6,7,5,5,4
2006,5,6,6,7,5,5,5,5,5,5,4,4
2007,6,5,5,5,5,6,5,6,5,6,5,5
2008,6,8,6,6,6,6,7,6,6,8,8,10
2009,8,9,8,8,6,7,9,6,6,6,7,8
2010,6,5,5,6,5,6,5,6,6,6,6,6
2011,4,5,4,5,5,5,5,7,5,6,6,5
2012,5,6,5,5,6,6,7,7,7,8,6,5
2013,6,5,6,7,5,6,5,6,6,5,6,5
2014,5,5,5,4,6,5,6,5,4,4,5,5
2015,6,6,6,5,6,6,6,5,6,5,6,6
2016,5,7,4,6,5,5,4,5,4,4,5,4
2017,5,4,4,4,3,4,4,4,4,6,4,4
2018,4,5,4,4,4,4,7,4,3,5,4,4
2019,4,3,4,6,6,4,6,5,5,6,5,6
2020,5,6,26,16,6,6,5,4,4,3,9,4
2021,6,5,6,3,3,4,4,6,3,3,6,3
