Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,37,31,34,31,30,33,35,32,30,31,42,35
2002,34,34,49,30,38,34,40,36,43,40,32,39
2003,43,44,39,40,32,48,39,38,38,39,36,41
2004,38,34,48,45,44,39,36,56,34,38,45,25
2005,30,35,57,35,44,43,43,38,36,38,31,35
2006,34,35,28,30,30,22,44,37,30,29,32,27
2007,29,35,35,35,36,33,34,39,47,28,31,39
2008,32,24,50,35,33,43,31,28,26,39,44,46
2009,50,77,38,47,38,42,57,40,53,47,42,39
2010,42,36,29,36,43,45,33,38,40,38,27,28
2011,37,38,56,28,31,24,39,36,41,30,38,37
2012,32,33,38,49,32,33,25,28,25,26,29,33
2013,27,30,25,31,32,29,29,32,33,36,29,25
2014,29,24,38,28,23,25,35,25,24,36,24,28
2015,29,28,29,25,20,29,24,27,27,28,25,27
2016,24,32,25,29,26,21,22,25,39,25,22,22
2017,29,27,35,32,39,41,39,41,27,27,41,44
2018,46,37,33,35,43,45,39,30,32,30,28,51
2019,28,38,44,33,25,28,21,36,41,38,31,29
2020,35,23,229,153,29,25,22,22,21,18,26,21
2021,22,22,23,25,22,28,19,20,31,22,27,28
