Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,16,11,15,12,13,10,12,31,15,16,11,11
2002,12,15,8,14,12,13,14,11,11,14,17,13
2003,12,13,10,10,11,12,13,13,11,11,15,12
2004,14,14,14,13,15,10,11,12,13,11,11,12
2005,12,12,13,11,14,12,11,12,13,17,12,12
2006,11,11,17,14,11,11,11,12,16,11,10,10
2007,12,10,10,12,11,12,12,13,11,13,12,12
2008,13,14,13,12,12,15,16,15,12,16,17,17
2009,17,17,18,18,16,11,15,13,12,12,12,15
2010,12,13,12,13,12,13,12,13,13,19,11,19
2011,9,11,9,11,11,14,10,12,12,10,12,10
2012,10,12,9,11,16,11,14,13,11,12,12,10
2013,11,10,11,15,11,11,13,12,12,9,12,12
2014,10,11,10,10,10,10,8,9,10,9,9,10
2015,16,11,13,11,11,11,13,9,11,14,13,12
2016,10,10,8,11,14,12,7,11,9,9,10,8
2017,9,9,8,8,8,7,8,9,12,11,8,8
2018,9,10,9,9,7,8,7,9,7,7,8,9
2019,8,7,9,10,11,9,11,11,12,10,10,10
2020,10,11,70,51,11,12,11,8,7,9,26,14
2021,10,11,11,12,6,10,9,13,8,8,9,8
