Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,27,21,27,20,24,32,35,29,29,33,33,26
2002,28,24,30,32,23,23,28,30,25,25,25,28
2003,24,30,27,27,28,29,26,28,26,28,33,27
2004,32,34,30,35,33,26,30,30,20,31,32,33
2005,30,28,51,30,35,38,34,30,32,28,22,33
2006,27,27,40,25,27,29,32,37,39,31,41,26
2007,35,22,29,30,36,36,27,29,29,27,24,30
2008,27,23,27,30,26,27,28,30,26,35,39,64
2009,38,47,32,38,37,36,34,26,40,36,48,23
2010,25,25,30,23,21,35,27,36,28,20,21,24
2011,41,34,24,23,21,20,21,25,37,25,22,26
2012,22,24,25,29,33,28,22,36,22,27,27,25
2013,29,27,26,24,25,22,27,25,25,25,24,27
2014,35,27,28,26,25,29,29,28,28,30,29,27
2015,27,22,35,25,23,28,23,24,28,30,26,23
2016,26,27,28,34,34,28,29,29,25,25,24,21
2017,24,23,25,25,32,38,30,37,32,29,26,31
2018,43,19,16,28,20,21,26,25,26,28,31,34
2019,37,36,35,32,26,21,24,28,62,32,27,29
2020,27,30,130,123,24,28,27,22,19,21,21,19
2021,25,26,21,22,16,21,19,20,24,24,20,35
