Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,11,10,11,10,9,10,14,9,8,9,10,9
2002,9,9,10,11,10,9,9,11,10,8,9,10
2003,11,9,10,10,8,9,9,8,10,11,9,10
2004,10,11,11,10,11,11,10,12,10,10,11,10
2005,10,11,11,12,11,12,11,13,14,12,12,12
2006,13,11,10,10,11,10,11,11,10,11,11,12
2007,10,10,11,10,11,12,11,10,10,11,9,10
2008,10,10,10,10,10,9,9,9,9,8,8,8
2009,8,8,7,7,6,7,6,7,6,6,7,6
2010,5,7,7,7,6,6,5,6,7,6,7,6
2011,7,6,8,6,9,7,7,7,7,7,7,8
2012,8,8,7,7,9,8,8,7,7,8,10,7
2013,9,8,8,9,8,8,9,9,8,9,9,9
2014,9,9,9,10,10,8,10,10,11,10,10,10
2015,9,11,12,10,9,11,10,10,10,11,11,10
2016,10,11,11,11,10,12,12,11,11,11,10,10
2017,13,10,11,11,11,11,11,11,11,11,11,11
2018,11,11,12,12,13,13,12,13,12,12,12,12
2019,13,13,13,13,12,12,13,12,13,14,13,13
2020,13,13,9,7,5,7,12,8,8,6,7,11
2021,13,12,11,11,10,12,13,12,11,10,12,17
