Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,32,33,30,25,29,28,28,26,28,27,22,26
2002,28,26,25,26,25,24,26,27,28,23,24,23
2003,22,24,26,24,23,27,25,26,24,22,25,25
2004,24,27,27,26,25,26,26,26,26,28,28,31
2005,28,26,28,28,30,29,28,29,31,29,28,27
2006,33,30,30,29,29,31,30,30,29,28,33,33
2007,31,31,31,30,29,29,29,29,25,28,26,28
2008,31,27,26,28,23,24,24,25,21,23,21,20
2009,19,16,23,16,17,17,21,16,16,16,17,18
2010,17,17,18,20,19,19,20,19,20,20,19,20
2011,18,24,19,18,21,19,19,23,21,19,21,19
2012,20,22,22,21,20,20,21,19,19,19,20,17
2013,25,22,20,20,22,21,21,22,21,19,22,28
2014,19,22,22,23,23,25,23,25,24,32,25,27
2015,29,26,30,27,24,25,26,24,24,26,22,25
2016,23,24,24,29,25,26,25,28,28,27,28,28
2017,31,31,30,29,31,34,31,29,28,32,33,30
2018,24,30,32,32,40,33,32,36,34,33,41,34
2019,33,36,39,34,34,32,38,35,35,33,33,39
2020,36,32,27,20,18,30,32,33,36,36,37,36
2021,34,38,36,39,31,39,39,40,44,40,45,43
