Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,349,288,326,356,345,309,320,304,262,255,250,247
2002,284,266,258,277,273,262,282,263,257,260,281,286
2003,277,259,260,241,234,240,225,228,251,254,241,255
2004,234,269,267,269,264,285,274,298,279,279,260,279
2005,271,285,297,286,275,298,299,311,316,304,305,277
2006,295,294,323,307,327,304,342,286,291,305,302,305
2007,331,276,301,288,308,301,305,309,276,305,276,277
2008,270,268,236,279,251,240,205,229,238,216,206,215
2009,196,201,174,157,149,169,152,161,154,143,175,168
2010,160,168,168,179,162,175,143,158,191,177,159,166
2011,194,193,195,181,186,175,194,189,209,187,206,197
2012,183,211,225,204,192,200,187,179,178,201,199,195
2013,236,210,211,204,228,214,242,260,220,230,234,232
2014,214,223,231,255,259,215,301,235,255,272,259,245
2015,271,268,288,281,276,279,274,295,282,305,276,295
2016,318,343,313,323,316,323,310,304,333,312,328,274
2017,365,302,331,320,311,333,318,317,320,288,302,330
2018,338,336,346,340,362,330,341,338,330,363,341,326
2019,356,371,338,358,355,361,349,371,383,358,394,380
2020,347,351,312,201,228,247,351,252,309,303,280,314
2021,292,320,331,407,367,401,421,403,400,391,428,437
