Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,17,15,16,17,15,15,14,13,12,14,15,13
2002,14,14,13,13,14,13,14,15,14,12,14,15
2003,15,14,14,14,13,12,12,12,13,16,13,13
2004,12,12,16,14,14,15,15,16,13,14,13,14
2005,14,16,18,16,15,17,14,18,19,17,18,17
2006,17,17,16,15,16,17,15,15,15,17,18,17
2007,17,15,18,18,17,17,19,19,17,19,15,19
2008,19,19,18,16,18,16,16,16,16,15,14,14
2009,13,12,12,11,8,10,10,10,9,9,12,9
2010,9,11,11,11,9,10,8,9,11,9,11,10
2011,12,10,14,10,12,11,11,12,12,13,12,12
2012,12,13,13,13,15,13,11,12,11,13,14,13
2013,13,13,13,14,13,12,14,14,13,14,14,14
2014,14,14,14,14,15,12,17,16,17,17,15,13
2015,16,18,17,15,15,16,16,16,16,15,16,16
2016,15,16,16,20,18,18,18,16,17,16,18,16
2017,21,16,18,17,18,17,14,18,19,18,19,18
2018,18,17,21,21,20,20,21,21,19,20,20,20
2019,23,27,22,19,22,23,23,22,23,23,22,25
2020,22,23,16,14,12,17,20,19,19,21,20,21
2021,23,22,22,24,19,23,24,30,30,28,28,28
