Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,15,14,14,14,13,14,14,15,14,17,15,14
2002,19,14,10,13,14,14,11,14,12,13,12,11
2003,11,16,11,11,14,10,12,9,12,11,13,11
2004,12,13,13,13,11,12,12,11,11,11,11,13
2005,14,13,14,13,12,12,12,14,14,13,13,12
2006,13,12,12,13,13,13,14,15,12,12,14,12
2007,13,12,12,12,11,12,11,11,12,12,12,10
2008,13,12,11,16,12,11,12,10,10,10,10,10
2009,9,9,8,8,8,8,7,5,8,9,9,8
2010,10,9,9,12,8,9,9,8,9,8,9,9
2011,8,8,8,8,8,8,8,8,8,9,9,9
2012,10,9,12,10,8,10,9,11,8,8,8,8
2013,13,10,8,8,10,10,9,10,11,10,10,7
2014,10,9,15,10,10,9,10,9,11,11,11,11
2015,10,11,11,10,11,11,12,13,11,11,11,11
2016,11,13,12,15,11,12,12,14,12,13,15,12
2017,12,13,12,12,12,12,13,11,11,12,12,12
2018,13,13,12,15,13,13,13,12,12,11,12,13
2019,11,11,14,12,12,14,12,13,13,15,13,12
2020,12,15,10,6,6,12,14,13,11,13,14,12
2021,13,14,14,10,12,16,18,18,20,18,22,19
