Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,27,22,25,29,23,25,22,23,20,22,17,20
2002,23,18,20,19,18,18,19,17,17,17,18,19
2003,18,18,16,16,16,16,21,17,17,17,16,16
2004,16,16,15,18,16,16,15,15,17,16,20,18
2005,18,18,19,20,19,20,20,19,18,19,19,18
2006,20,20,20,19,20,19,20,22,20,24,20,21
2007,21,19,20,20,21,20,21,18,17,21,20,21
2008,17,18,19,19,18,18,15,17,17,14,14,14
2009,15,16,13,12,10,12,11,11,11,12,14,12
2010,13,15,15,15,12,15,13,14,14,13,13,13
2011,12,12,13,12,13,13,15,15,15,16,15,14
2012,11,15,18,14,16,15,14,15,13,13,13,14
2013,14,14,13,14,15,16,20,16,18,16,19,16
2014,18,16,17,21,18,20,19,18,19,19,17,14
2015,19,19,20,20,18,17,17,18,20,19,19,20
2016,18,22,21,20,20,20,20,24,18,22,20,22
2017,21,21,22,22,22,22,22,23,21,18,22,23
2018,24,23,23,24,25,25,26,26,24,28,25,24
2019,22,25,24,23,26,28,24,24,25,24,24,24
2020,27,26,23,10,14,19,29,22,24,25,25,24
2021,26,28,29,17,23,28,30,33,30,29,29,29
