Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,25,24,27,28,26,24,24,26,25,30,24,25
2002,25,25,21,25,23,22,24,23,23,20,23,25
2003,25,23,24,22,23,23,23,22,25,28,24,24
2004,25,27,25,25,27,31,30,30,25,30,28,29
2005,29,28,32,34,33,31,30,38,32,32,34,34
2006,34,36,33,34,33,35,36,34,38,37,36,34
2007,36,32,38,33,38,40,50,38,36,31,27,34
2008,33,38,30,31,40,25,30,28,28,31,29,25
2009,19,31,14,21,16,19,17,18,17,19,20,21
2010,18,20,20,19,24,20,17,19,19,18,21,18
2011,24,23,24,22,23,24,23,21,21,21,21,21
2012,18,19,22,28,21,19,20,20,19,22,21,21
2013,22,22,19,20,24,21,23,27,25,23,26,24
2014,25,26,26,27,26,24,29,27,30,28,25,25
2015,27,29,29,28,26,30,26,23,27,29,29,29
2016,28,30,28,33,34,31,35,28,31,29,33,31
2017,32,31,32,32,30,31,31,35,32,32,33,39
2018,31,33,36,36,38,38,37,39,39,38,36,40
2019,40,36,39,39,39,41,39,38,38,38,34,35
2020,40,39,44,20,36,34,40,25,39,33,38,34
2021,43,42,42,58,79,43,42,46,57,49,45,46
