Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,79,79,73,95,81,77,100,79,70,95,87,82
2002,85,69,56,85,66,69,60,62,59,61,52,60
2003,64,60,66,52,59,53,50,51,55,56,67,67
2004,59,64,59,59,61,73,70,66,74,62,68,70
2005,72,72,67,77,95,63,57,91,66,65,70,56
2006,58,87,74,59,67,61,81,90,68,74,68,64
2007,70,67,64,70,110,72,60,73,71,73,71,57
2008,69,90,74,94,62,79,64,51,60,57,57,49
2009,44,40,45,39,43,47,37,28,33,43,38,44
2010,49,40,45,46,36,39,43,38,43,45,39,41
2011,31,41,40,33,36,38,35,44,39,37,40,45
2012,54,47,47,48,43,46,52,49,47,43,53,50
2013,49,50,42,56,59,48,45,57,53,47,44,46
2014,44,52,45,49,48,75,52,38,39,46,48,61
2015,48,54,56,52,66,51,52,52,62,66,67,51
2016,57,60,52,46,57,56,60,60,62,63,57,52
2017,66,54,65,50,57,66,69,66,70,64,66,70
2018,61,70,70,78,80,77,66,72,66,64,57,80
2019,96,84,88,78,73,75,84,78,80,84,85,78
2020,78,69,86,63,72,73,81,69,90,107,85,71
2021,82,88,75,87,101,102,100,106,94,101,100,95
