Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,132,147,154,160,151,123,147,150,170,154,111,133
2002,150,134,140,114,119,119,110,116,109,117,116,109
2003,113,121,108,104,102,106,105,100,102,108,111,102
2004,99,115,115,134,117,135,118,112,111,120,125,127
2005,143,121,142,130,119,125,148,136,136,136,98,163
2006,156,123,126,132,141,132,138,162,150,135,129,128
2007,116,119,124,128,109,118,116,132,115,124,125,104
2008,141,140,122,142,131,115,124,102,109,103,101,93
2009,86,96,81,82,84,82,72,54,81,88,96,95
2010,78,89,92,98,85,117,106,99,96,85,97,87
2011,97,102,120,99,112,101,97,104,105,128,82,79
2012,117,103,105,114,105,106,93,103,91,103,110,104
2013,124,109,82,101,89,112,108,105,109,118,127,103
2014,104,120,113,93,114,86,110,102,123,122,96,118
2015,122,112,134,136,125,133,150,144,137,134,122,148
2016,140,139,155,126,148,139,142,138,135,136,156,149
2017,141,138,138,161,144,136,135,134,147,145,145,156
2018,140,156,121,146,147,152,138,142,160,121,152,133
2019,137,149,150,122,158,171,168,171,130,149,147,134
2020,150,152,138,101,105,119,138,135,123,131,131,143
2021,114,124,138,152,136,164,199,197,184,173,196,183
