Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,91,108,89,95,90,80,78,89,73,84,96,92
2002,84,88,90,82,70,76,81,70,73,71,66,67
2003,81,66,64,68,67,77,74,71,68,65,73,72
2004,72,79,83,76,77,97,75,71,89,79,78,83
2005,90,77,98,68,83,79,80,90,83,76,85,86
2006,93,90,84,80,94,100,96,106,95,113,111,103
2007,100,98,101,101,92,88,97,91,89,104,91,92
2008,91,109,73,83,82,92,76,78,75,71,59,62
2009,50,63,57,57,55,48,55,47,47,57,59,59
2010,54,56,53,70,55,58,48,65,58,48,61,68
2011,55,70,74,66,65,53,71,58,79,49,55,54
2012,98,69,79,67,76,74,86,71,64,71,69,74
2013,77,85,74,88,83,83,86,83,89,89,101,80
2014,94,94,91,73,86,94,74,94,93,93,88,89
2015,83,83,78,93,91,107,86,103,104,110,87,113
2016,87,95,107,99,94,94,99,103,90,100,97,93
2017,97,96,93,85,99,102,100,106,91,105,128,114
2018,116,123,123,122,127,123,123,127,127,131,128,133
2019,142,146,144,146,137,141,145,144,137,113,122,119
2020,115,108,89,69,88,93,98,102,101,131,132,120
2021,125,118,124,150,149,139,149,151,156,160,181,151
