Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,217,246,260,242,271,230,222,220,249,225,216,213
2002,233,238,220,222,219,235,224,245,227,210,184,207
2003,183,204,198,202,190,185,203,183,184,194,208,218
2004,214,177,221,209,194,224,221,218,223,217,272,196
2005,235,228,211,225,212,205,214,253,229,237,292,236
2006,243,243,239,235,250,266,255,241,253,242,259,278
2007,217,263,279,270,282,271,283,280,269,283,262,261
2008,270,286,261,312,254,268,248,244,218,265,216,199
2009,214,176,190,162,174,173,164,157,139,152,163,172
2010,194,191,172,168,170,159,168,174,168,168,161,207
2011,166,178,183,205,178,190,189,202,195,197,201,221
2012,189,204,218,212,214,254,218,231,210,221,239,214
2013,212,275,213,247,243,224,261,227,232,248,230,204
2014,240,252,249,263,272,284,269,280,309,292,302,296
2015,297,301,274,276,262,272,298,300,279,275,284,293
2016,299,282,313,286,316,303,313,312,296,328,341,326
2017,302,321,337,309,316,347,318,311,354,393,321,309
2018,286,348,315,354,338,345,353,352,336,343,332,341
2019,379,337,341,363,338,318,359,348,330,314,329,335
2020,342,333,298,178,270,216,262,295,352,340,324,396
2021,326,314,372,346,348,363,360,370,440,429,407,395
