Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,7,8,8,8,8,7,8,7,8,8,7,8
2002,8,7,7,7,7,7,6,6,6,7,6,6
2003,7,6,6,6,6,7,5,6,6,6,6,5
2004,5,6,7,7,6,6,7,7,6,6,7,7
2005,11,7,6,7,7,7,6,8,8,7,6,7
2006,8,7,8,7,6,6,7,8,7,7,7,7
2007,6,6,6,7,6,7,7,7,6,7,7,6
2008,8,7,6,7,7,7,7,6,5,5,5,6
2009,5,5,5,4,4,4,3,3,4,4,5,4
2010,5,5,5,5,5,4,5,6,5,4,5,5
2011,4,5,5,5,5,4,5,4,5,4,5,5
2012,6,5,5,6,4,5,4,5,4,5,4,5
2013,6,5,5,5,6,5,5,5,6,6,5,5
2014,5,5,6,6,5,5,6,4,6,6,6,7
2015,6,6,6,5,6,6,7,7,6,6,6,7
2016,7,7,7,7,5,7,6,7,7,7,8,7
2017,7,7,7,6,7,7,7,6,7,9,7,7
2018,6,7,7,7,7,7,7,7,7,7,6,8
2019,7,6,7,6,8,7,7,7,7,7,7,6
2020,7,7,5,1,1,5,6,5,6,7,8,7
2021,6,7,7,4,4,7,9,8,9,11,12,10
