Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,88,78,75,88,72,74,82,89,77,87,77,84
2002,89,80,76,88,83,87,90,85,84,72,83,68
2003,64,83,88,74,69,86,70,74,70,78,75,73
2004,68,87,88,76,82,76,77,75,85,75,80,86
2005,84,73,84,72,85,72,78,76,83,90,77,84
2006,87,90,74,80,83,91,86,94,89,83,95,92
2007,76,80,70,84,76,89,77,87,65,72,73,82
2008,75,76,78,79,72,77,87,70,60,70,64,56
2009,53,59,52,39,62,39,38,31,55,47,69,49
2010,52,45,59,65,56,65,68,41,52,50,52,56
2011,60,57,61,52,63,53,54,63,64,64,71,75
2012,46,75,67,63,69,57,68,62,53,61,64,55
2013,60,65,58,70,57,67,44,55,65,76,58,64
2014,66,56,69,64,68,72,68,73,74,70,61,67
2015,64,76,70,73,70,68,79,83,74,65,79,85
2016,88,87,67,87,70,83,84,71,81,78,77,90
2017,78,83,86,85,96,97,84,83,87,91,85,74
2018,75,76,81,99,87,86,82,96,88,83,97,81
2019,78,92,95,91,94,94,96,113,91,93,88,95
2020,102,83,76,64,55,65,70,68,84,91,93,83
2021,86,88,92,127,102,105,98,111,115,105,102,131
