Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,21,17,25,18,17,18,24,20,18,19,20,17
2002,19,19,19,21,19,19,19,20,19,17,19,20
2003,22,21,19,19,15,19,21,18,18,20,18,19
2004,20,20,20,19,22,20,19,21,18,19,20,20
2005,18,20,20,20,20,21,19,21,23,21,22,21
2006,22,20,20,20,20,18,19,19,19,19,18,19
2007,18,18,19,18,18,22,21,20,18,20,18,18
2008,18,19,20,17,17,17,18,19,18,19,19,18
2009,18,18,16,18,15,18,17,17,17,16,16,17
2010,15,16,16,17,17,15,13,14,16,17,15,16
2011,14,14,15,14,21,15,15,16,16,18,15,17
2012,16,16,18,17,18,18,18,18,17,16,20,15
2013,18,17,16,18,16,21,18,19,17,17,19,17
2014,18,18,19,19,19,16,18,18,18,18,18,20
2015,17,20,21,17,18,20,19,19,19,21,20,19
2016,18,22,17,20,19,19,21,19,20,19,18,17
2017,23,16,19,18,17,17,18,18,19,18,18,18
2018,19,19,20,20,18,21,18,20,19,19,20,20
2019,20,20,20,20,19,20,21,20,22,23,22,21
2020,21,21,38,33,13,15,20,13,13,9,15,19
2021,21,20,19,18,15,17,19,19,18,14,17,24
