Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,124,100,122,109,101,95,111,115,118,109,109,105
2002,113,122,98,109,96,121,114,97,116,87,100,116
2003,104,113,96,90,93,91,90,91,85,101,98,103
2004,92,95,113,109,117,103,103,113,93,100,89,87
2005,95,91,93,92,101,110,103,105,126,97,111,117
2006,110,108,100,114,89,97,83,112,86,89,98,93
2007,98,98,94,101,106,118,133,110,99,131,89,96
2008,104,105,115,91,91,87,107,96,92,85,99,97
2009,93,87,80,81,77,78,90,84,82,77,87,85
2010,85,81,76,94,69,81,76,81,85,88,79,66
2011,77,113,78,72,83,84,73,66,72,69,62,74
2012,62,67,69,78,93,72,75,77,73,76,90,65
2013,111,80,83,94,86,83,104,118,96,85,96,105
2014,114,108,108,94,84,107,111,94,105,104,100,95
2015,95,104,106,92,105,132,94,98,98,106,151,119
2016,122,115,126,129,114,109,127,107,119,139,112,142
2017,102,107,96,99,112,101,99,129,113,89,95,99
2018,115,124,120,122,120,125,129,116,105,113,108,96
2019,110,105,112,120,106,102,110,124,122,123,122,124
2020,122,117,337,279,72,125,120,95,114,102,161,145
2021,119,107,136,97,97,136,144,172,142,155,141,137
