Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,19,18,17,20,16,19,20,17,19,22,22,19
2002,18,18,20,20,19,19,18,19,18,18,19,18
2003,18,25,18,17,18,17,18,22,19,16,19,20
2004,20,19,20,20,19,17,18,17,18,19,20,19
2005,18,19,17,16,17,22,18,18,17,19,17,23
2006,18,19,23,17,21,21,20,19,19,18,22,20
2007,24,20,19,18,17,18,18,20,21,17,17,17
2008,17,19,17,20,21,19,17,18,17,16,17,18
2009,16,16,17,15,14,14,14,12,15,15,18,14
2010,13,17,14,12,13,14,14,14,14,15,14,15
2011,14,15,16,17,18,15,19,17,16,15,15,15
2012,16,15,16,16,16,17,14,16,16,18,15,15
2013,15,16,13,15,15,16,15,17,18,16,18,18
2014,14,18,17,15,15,17,18,18,18,18,17,18
2015,21,17,19,19,17,17,17,20,19,21,18,19
2016,19,18,18,17,19,19,17,19,18,18,17,18
2017,17,19,20,19,20,20,22,17,18,22,19,19
2018,18,19,21,20,19,20,20,21,20,19,21,20
2019,20,20,20,23,22,20,19,20,22,20,21,20
2020,20,18,45,40,15,17,17,18,17,19,19,19
2021,20,18,21,27,18,18,20,21,20,20,22,22
