Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,348,269,279,269,259,273,272,244,272,255,274,258
2002,293,255,243,249,252,261,274,272,281,257,302,280
2003,287,303,304,274,306,311,286,272,274,334,279,286
2004,293,269,267,288,266,268,287,281,287,287,315,311
2005,304,292,307,324,310,319,323,338,346,343,289,336
2006,320,377,369,394,375,412,382,373,359,361,410,375
2007,354,354,371,338,363,356,362,355,367,391,337,314
2008,369,347,318,319,303,298,295,319,328,303,310,297
2009,276,220,266,263,244,225,234,230,249,217,223,221
2010,206,234,226,217,210,232,225,222,247,193,224,229
2011,234,261,249,220,270,247,249,251,227,247,244,217
2012,241,246,260,259,244,267,261,227,249,262,246,263
2013,272,229,234,252,220,265,243,238,287,263,261,266
2014,248,264,268,270,264,264,272,294,291,289,291,304
2015,300,304,292,333,323,313,314,358,343,264,294,319
2016,244,268,249,289,308,283,296,309,290,260,267,278
2017,326,337,302,301,279,312,316,274,276,316,272,263
2018,287,271,305,303,283,300,298,319,354,323,358,344
2019,317,332,315,307,349,355,349,334,377,313,352,351
2020,342,338,1106,522,240,309,340,306,330,380,327,334
2021,376,362,327,297,302,312,356,395,383,380,427,433
