Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,190,166,176,152,157,183,185,180,161,180,199,146
2002,149,180,155,164,160,153,186,160,165,188,164,179
2003,200,151,156,146,167,152,148,158,169,139,138,162
2004,136,144,130,159,138,142,154,148,142,129,174,163
2005,145,202,207,173,159,173,169,158,160,166,149,180
2006,143,147,168,125,194,173,165,174,184,168,216,174
2007,182,147,165,163,161,162,148,155,189,179,162,189
2008,176,171,183,160,153,191,154,178,151,149,136,111
2009,144,162,155,133,130,132,160,129,110,122,112,113
2010,105,137,103,113,115,120,116,132,125,107,129,133
2011,146,124,120,147,104,128,140,126,146,112,151,119
2012,120,118,125,140,176,120,124,133,131,142,108,122
2013,138,135,124,122,140,133,132,130,133,123,165,136
2014,123,147,135,135,149,156,161,169,173,174,159,165
2015,190,169,202,191,155,163,158,154,171,190,155,172
2016,182,179,166,183,187,200,190,181,185,168,166,199
2017,177,160,179,201,290,228,199,196,211,179,216,159
2018,199,203,217,160,174,172,175,173,158,188,193,190
2019,167,178,187,192,171,166,207,182,170,181,189,214
2020,211,208,389,344,165,165,200,208,192,175,195,208
2021,197,205,197,273,199,268,228,254,264,220,273,238
